query_id, real_time(s), user_time(s), sys_time(s)
1, 0.157, 0.466291, 0.041429
2, 0.033, 0.054854, 0.021791
3, 0.084, 0.224147, 0.068065
4, 0.073, 0.215985, 0.041029
5, 0.088, 0.242393, 0.073955
6, 0.039, 0.106429, 0.046015
7, 0.094, 0.251728, 0.075508
8, 0.085, 0.206097, 0.091158
9, 0.232, 0.715144, 0.154626
10, 0.171, 0.415911, 0.095846
11, 0.020, 0.053430, 0.012562
12, 0.066, 0.197840, 0.056439
13, 0.171, 0.568890, 0.051686
14, 0.068, 0.135101, 0.082009
14, 0.003, 0.000955, 0.000000
15, 0.071, 0.223162, 0.051541
15, 0.001, 0.000623, 0.000000
16, 0.049, 0.114848, 0.037017
17, 0.070, 0.206421, 0.052403
18, 0.189, 0.619250, 0.086486
19, 0.113, 0.288525, 0.088792
20, 0.079, 0.222247, 0.065814
21, 0.209, 0.661236, 0.075244
22, 0.051, 0.087463, 0.020301
