query_id,cpu_used(%),ram_used(gb),time(ms)
1,59.7,0.6,122.0
2,94.1,0.74,746.0
3,68.8,0.76,225.0
4,98.5,1.89,4244.0
5,70.3,1.34,566.0
6,64.1,1.07,249.0
7,72.7,1.22,482.0
8,58.7,1.14,269.0
9,92.4,1.29,1273.0
10,68.8,1.16,232.0
11,98.5,1.61,2761.0
12,3.3,0.85,
13,76.6,1.09,653.0
14,98.5,2.63,4748.5
15,40.3,1.1,111.0
16,3.2,1.1,
17,76.6,1.2,417.0
18,58.1,0.99,335.0
19,61.9,1.01,297.0
20,3.2,0.85,
21,4.7,0.85,
22,93.8,12.87,16658.0
23,98.5,2.88,4854.0
24,83.1,1.3,419.5
25,47.6,1.02,145.0
26,37.1,0.97,296.0
27,74.2,1.09,559.0
28,98.5,1.11,1263.0
29,64.1,1.16,499.0
30,59.7,1.12,138.0
31,75.4,1.23,424.0
32,3.2,0.92,
33,57.6,1.11,331.0
34,73.0,1.23,305.0
35,87.5,1.29,570.0
36,68.3,1.46,1334.0
37,1.6,1.11,
38,90.6,1.17,709.0
39,95.5,1.21,484.5
40,3.2,1.03,
41,9.5,1.02,30.0
42,63.5,1.08,200.0
43,76.9,0.95,410.0
44,80.0,0.85,255.0
45,46.8,0.86,137.0
46,76.6,1.0,609.0
47,89.6,1.26,1191.0
48,81.2,1.08,604.0
49,64.6,1.21,435.0
50,87.7,1.17,557.0
51,97.0,1.86,3858.0
52,66.7,1.16,197.0
53,65.1,1.15,286.0
54,69.8,1.24,284.0
55,65.6,1.18,194.0
56,58.7,1.08,346.0
57,84.6,0.96,558.0
58,55.4,1.13,248.0
59,95.5,1.18,1312.0
60,62.5,1.15,388.0
61,89.1,1.3,471.0
62,78.5,1.03,170.0
63,65.1,1.15,269.0
64,81.8,1.58,1602.0
65,98.5,1.34,1233.0
66,58.7,1.03,237.0
67,97.0,4.79,11118.0
68,75.4,1.27,537.0
69,24.2,1.1,53.0
70,96.9,1.15,559.0
71,59.7,1.12,307.0
72,61.3,1.1,728.0
73,72.3,1.12,294.0
74,97.0,1.53,1872.0
75,93.5,1.67,1118.0
76,65.6,1.22,514.0
77,3.2,0.91,
78,98.5,2.07,2707.0
79,82.8,1.24,541.0
80,1.6,1.2,
81,51.5,1.27,209.0
82,3.2,1.26,
83,27.4,1.27,62.0
84,36.5,1.26,73.0
85,61.9,1.26,264.0
86,71.9,1.16,147.0
87,92.5,1.24,775.0
88,98.5,1.12,1014.0
89,65.1,1.19,329.0
90,35.0,1.2,64.0
91,24.2,1.2,46.0
92,3.2,1.2,
93,59.4,1.23,152.0
94,3.2,1.08,
95,1.6,1.08,
96,69.8,1.11,172.0
97,94.0,1.2,995.0
98,3.2,0.87,
99,76.2,0.87,272.0
