query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,803,53.05375,13.666666666666666,3.643333333333333,4.12,26.1
query 2,1255,59.48833333333332,11.5,3.856666666666667,4.119999999999999,28.686666666666667
query 3,1205,49.337500000000006,12.416666666666666,4.163333333333334,4.119999999999999,26.298333333333336
query 4,3575,73.09735294117648,5.117647058823529,4.870857142857143,4.12,25.55028571428572
query 5,458,46.56999999999999,8.4,4.51,4.12,25.5025
query 6,240,43.395,30.0,4.75,4.12,25.395
query 7,265,46.36,1.0,4.8,4.12,25.96333333333333
query 8,485,53.496,4.8,4.8025,4.12,29.166000000000004
query 9,490,48.22,18.6,4.981999999999999,4.12,28.3175
query 10,1344,43.88692307692308,13.428571428571429,5.063846153846153,4.119999999999999,25.87846153846154
query 12,353,63.15666666666666,0.0,5.013333333333333,4.12,25.445
query 13,1176,65.1190909090909,4.090909090909091,5.099166666666667,4.119999999999999,25.64181818181818
query 16,6923,45.59955882352941,2.794117647058824,5.923529411764705,4.12,25.476470588235298
query 17,1733,66.6864705882353,7.764705882352941,5.097058823529413,4.12,27.35125
query 18,6581,78.30734375,5.671875,5.686825396825396,4.120000000000001,25.743333333333336
query 19,488,45.26,3.8,5.1075,4.12,25.494000000000003
query 20,2994,56.98482758620689,9.137931034482758,5.495172413793102,4.120000000000001,26.762999999999995
query 22, 853,44.667500000000004,2.7777777777777777,5.56,4.12,25.524444444444445
