query_id, cpu_used(%), ram_used(gb)
01, 69.8, 1.17
01, 45.2, 1.21
02, 84.4, 1.21
02, 95.5, 1.21
02, 95.4, 1.21
02, 94.1, 1.23
02, 93.8, 1.24
02, 3.2, 1.04
03, 64.6, 1.12
03, 60.9, 1.04
04, 58.5, 1.00
04, 61.3, 1.13
04, 49.2, 1.14
04, 53.8, 1.30
04, 72.7, 1.35
04, 50.8, 1.36
04, 50.0, 1.37
04, 80.6, 1.45
04, 70.8, 1.76
04, 74.2, 2.12
04, 12.9, 2.41
04, 82.5, 2.53
04, 74.6, 2.54
04, 50.8, 2.56
04, 50.8, 2.57
04, 50.0, 2.57
04, 50.0, 2.57
04, 87.3, 2.56
04, 75.0, 2.60
04, 56.2, 2.60
04, 98.5, 2.59
04, 91.2, 2.59
04, 34.9, 2.77
04, 81.5, 2.85
04, 67.7, 2.85
04, 50.8, 2.85
04, 50.0, 2.85
04, 50.0, 2.84
04, 65.2, 2.74
04, 45.5, 2.74
04, 76.6, 2.74
04, 76.2, 2.74
04, 74.6, 2.74
04, 4.8, 0.87
05, 60.3, 0.97
05, 68.8, 1.20
05, 69.2, 1.63
05, 96.9, 1.73
05, 30.8, 0.91
06, 65.2, 1.07
06, 41.9, 1.27
07, 66.7, 1.31
07, 72.7, 1.48
07, 71.4, 1.65
07, 24.2, 1.07
08, 58.7, 1.12
08, 74.6, 1.28
09, 73.0, 1.02
09, 71.9, 1.28
09, 90.6, 1.40
09, us., 1.40
09, 98.5, 1.40
09, 98.5, 1.40
09, us., 1.40
09, 97.0, 1.40
09, 98.5, 1.40
10, 69.8, 1.15
10, 60.3, 1.25
11, 61.3, 1.30
11, 63.1, 1.34
11, 67.7, 1.34
11, 71.9, 1.52
11, 72.3, 1.79
11, 36.4, 2.00
11, 92.1, 2.13
11, 73.0, 2.15
11, 75.0, 2.16
11, 74.6, 2.16
11, 75.0, 2.17
11, 50.0, 2.18
11, 88.9, 2.19
11, 54.0, 2.19
11, 90.5, 2.19
11, 98.5, 2.18
11, 34.4, 2.32
11, 80.0, 2.38
11, 50.8, 2.38
11, 50.8, 2.37
11, 49.2, 2.37
11, 49.2, 2.36
11, 1.6, 1.10
