query_id,time(ms)
1,61.0
2,39.5
3,29.0
4,573.5
5,63.0
6,72.0
7,82.5
8,51.5
9,51.5
10,48.0
11,499.0
13,62.5
14,278.5
15,51.5
17,66.0
18,92.0
19,46.0
22,424.5
23,169.5
24,50.0
25,34.5
26,49.5
27,89.0
28,57.5
29,60.0
30,59.5
31,60.0
33,37.0
34,42.0
35,97.0
36,297.5
38,59.0
39,58.0
41,16.0
42,25.0
43,36.5
44,12.0
45,57.5
46,111.5
47,114.0
48,55.5
49,48.0
50,46.0
51,474.0
52,30.0
53,39.0
54,43.5
55,27.5
56,49.5
57,78.5
58,41.0
59,73.0
60,54.5
61,33.5
62,32.0
63,32.0
64,113.0
65,73.5
66,55.5
67,486.0
68,66.5
69,46.0
70,45.0
71,52.5
72,155.5
73,42.0
74,331.5
75,100.5
76,49.5
78,142.0
79,52.0
81,100.0
83,22.0
84,24.5
85,48.0
86,37.5
87,70.5
88,55.5
89,46.0
90,14.5
91,20.5
93,64.5
94,30.5
96,22.5
97,73.5
99,35.0
