query_id,time(ms)
1,157.0
2,296.0
3,212.0
4,9413.0
5,626.0
6,373.0
7,498.5
8,239.5
9,923.0
10,214.5
11,3196.0
13,550.0
14,12533.0
15,130.0
16,89.5
17,443.0
18,952.0
19,332.0
22,3628.5
23,3728.5
24,405.5
25,470.0
26,193.5
27,516.5
28,679.5
29,436.5
30,158.5
31,380.0
33,358.0
34,246.5
35,648.5
36,433.5
38,523.0
39,171.5
41,26.0
42,201.5
43,251.0
44,354.0
45,189.5
46,490.5
47,776.0
48,485.0
49,452.5
50,367.0
51,4090.5
52,212.5
53,259.0
54,371.0
55,209.5
56,380.0
57,327.5
58,313.5
59,892.5
60,372.0
61,36.5
62,137.0
63,246.0
64,1109.0
65,932.5
66,261.5
67,28776.5
68,11129.5
69,471.5
70,1410.0
71,1277.0
72,2708.0
73,253.0
74,4153.5
75,2575.0
76,1984.0
78,3854.0
79,1258.5
81,285.0
83,84.0
84,71.5
85,1780.5
86,134.0
87,619.5
88,568.5
89,292.5
90,90.5
91,61.0
93,891.0
96,176.0
97,758.5
99,196.0
