query_id,time(ms)
1,52.5
2,57.5
3,36.5
4,1059.0
5,87.5
6,108.5
7,82.0
8,69.5
9,83.5
10,52.5
11,685.0
13,92.0
14,696.5
15,67.5
17,84.0
18,132.5
19,72.0
22,964.5
23,346.5
24,75.5
25,43.5
26,72.0
27,94.5
28,90.0
29,90.5
30,72.0
31,79.5
33,59.5
34,57.5
35,136.0
36,586.0
38,91.5
39,79.0
41,23.0
42,38.0
43,50.0
44,19.5
45,83.0
46,140.5
47,152.5
48,84.0
49,73.5
50,71.0
51,849.5
52,43.0
53,60.5
54,69.5
55,44.0
56,72.0
57,119.5
58,64.5
59,123.0
60,71.0
61,82.0
62,37.5
63,52.5
64,171.5
65,144.5
66,72.0
67,1007.5
68,93.0
69,36.0
70,64.5
71,67.0
72,233.0
73,53.0
74,461.5
75,186.5
76,76.5
78,235.0
79,82.5
81,118.5
83,30.5
84,27.5
85,66.0
86,47.0
87,101.5
88,88.5
89,61.5
90,16.5
91,22.5
93,54.5
96,27.0
97,100.5
99,46.0
