query_id,time(ms)
1,129.0
2,162.5
3,117.0
4,5284.0
5,288.5
6,244.0
7,257.5
8,150.5
9,442.0
10,136.0
11,3010.5
13,301.5
14,3994.5
15,93.0
17,242.0
18,270.0
19,175.0
22,440.5
23,1587.5
24,244.0
25,249.0
26,79.5
27,310.0
28,367.0
29,259.5
30,125.5
31,209.5
33,198.0
34,151.5
35,361.0
36,261.5
38,288.5
39,73.0
41,17.5
42,121.5
43,148.5
44,71.5
45,141.5
46,403.5
47,420.5
48,263.5
49,241.5
50,214.5
51,1704.0
52,131.5
53,155.5
54,206.0
55,135.5
56,203.0
57,141.0
58,171.5
59,360.5
60,192.5
61,250.5
62,85.0
63,148.0
64,560.5
65,425.5
66,150.0
67,4092.5
68,343.5
69,165.0
70,207.0
71,177.5
72,762.5
73,153.5
74,2208.5
75,581.0
76,244.5
78,1071.5
79,251.5
81,171.5
83,49.0
84,44.0
85,181.5
86,82.0
87,329.5
88,300.5
89,165.0
90,53.0
91,36.5
93,194.0
96,87.5
97,345.5
99,90.5
