query_id,time(ms)
1,32.0
2,21.0
3,14.5
4,145.0
5,33.5
6,30.0
7,36.0
8,25.0
9,14.0
10,24.5
11,131.0
12,18.5
13,31.0
14,77.0
15,25.0
16,21.5
17,27.0
18,52.5
19,26.0
20,19.0
21,13.5
22,69.0
23,53.0
24,16.0
25,23.5
26,29.0
27,39.5
28,24.0
29,28.0
30,37.5
31,37.0
32,13.5
33,20.0
34,24.5
35,38.5
36,84.5
37,11.5
38,36.5
39,48.0
40,20.5
41,11.5
42,14.0
43,19.0
44,26.0
45,22.0
46,44.0
47,66.5
48,28.5
49,25.5
50,20.0
51,176.5
52,16.5
53,21.5
54,20.5
55,16.5
56,24.0
57,50.5
58,23.0
59,31.5
60,24.0
61,22.5
62,14.5
63,20.0
64,59.5
65,26.5
66,30.5
67,146.5
68,32.5
69,28.5
70,27.5
71,24.5
72,91.0
73,19.5
74,86.0
75,44.5
76,26.0
77,24.0
78,57.0
79,28.0
80,43.5
81,43.5
82,15.0
83,14.0
84,20.0
85,35.5
86,19.5
87,36.0
88,27.5
89,25.5
90,8.5
91,17.5
92,11.0
93,21.5
94,16.5
95,85.0
96,10.5
97,31.0
98,28.0
99,25.5
