query,time (ms)
query 1,405.0
query 2,1300.0
query 3,746.0
query 4,1228.0
query 5,258.0
query 6,207.0
query 7,207.0
query 8,627.0
query 9,230.0
query 10,707.0
query 12,227.0
query 13,403.0
query 16,1998.0
query 17,1321.0
query 18,1416.0
query 19,218.0
query 20,1695.0
query 22,856.0
