query_id,cpu_used(%),ram_used(gb),time(ms)
1,59.9,0.83,128.0
2,91.13,0.86,745.0
3,69.13,0.89,226.33
4,79.07,1.53,4222.67
5,47.15,1.1,569.0
6,32.93,1.01,250.33
7,68.08,1.16,481.0
8,32.27,1.09,267.33
9,81.63,1.22,1273.0
10,34.47,1.18,231.67
11,80.79,1.39,2710.67
12,3.27,0.83,
13,64.68,0.93,656.0
14,84.93,2.11,4771.17
15,40.3,1.02,109.33
16,2.67,1.02,
17,69.3,1.09,413.33
18,42.8,0.98,334.33
19,38.65,0.97,302.33
20,3.23,0.9,
21,3.73,0.9,
22,75.55,7.63,16734.67
23,86.06,2.3,4845.33
24,54.89,1.36,416.17
25,51.87,1.12,133.67
26,26.33,1.03,256.67
27,45.51,0.99,529.33
28,81.97,1.02,1249.67
29,65.4,1.11,481.67
30,56.77,0.98,129.67
31,72.13,1.09,426.67
32,2.67,0.98,
33,39.33,1.12,327.67
34,46.27,1.16,305.0
35,54.51,1.2,570.33
36,43.44,1.31,1340.0
37,1.6,1.02,
38,77.07,1.07,704.67
39,78.61,1.09,479.0
40,3.2,0.94,
41,9.7,0.94,29.67
42,66.17,1.04,203.33
43,76.67,0.97,410.67
44,40.47,0.96,255.67
45,49.47,1.0,142.0
46,58.25,1.01,607.0
47,70.53,1.06,1195.0
48,58.55,0.96,602.0
49,57.72,1.12,436.67
50,55.06,1.12,556.0
51,85.53,1.56,3913.67
52,64.43,1.05,195.0
53,37.7,1.03,286.67
54,38.73,1.07,286.0
55,61.97,1.12,191.67
56,45.72,1.03,350.0
57,55.34,1.01,557.67
58,28.55,1.15,246.0
59,86.79,1.2,1312.33
60,49.73,1.17,369.67
61,74.73,1.22,474.67
62,79.73,1.02,171.0
63,34.1,1.04,271.67
64,70.52,1.24,1538.0
65,73.53,1.2,1233.67
66,40.32,1.05,222.0
67,82.87,3.22,10993.67
68,50.25,1.28,528.0
69,23.8,1.09,51.0
70,57.31,1.08,560.67
71,41.37,1.04,305.67
72,52.8,1.13,711.67
73,41.22,1.08,294.67
74,68.84,1.32,1908.0
75,60.73,1.26,1110.67
76,40.38,1.09,508.0
77,2.67,0.9,
78,77.51,1.56,2715.67
79,52.01,1.13,542.33
80,2.67,1.17,
81,54.23,1.23,202.67
82,3.73,1.2,
83,27.13,1.2,61.0
84,39.37,1.19,73.33
85,33.37,1.17,269.67
86,71.73,1.12,145.0
87,82.39,1.19,768.33
88,88.38,1.2,1012.0
89,48.35,1.11,329.33
90,36.4,1.09,65.0
91,23.53,1.09,46.0
92,3.2,1.09,
93,59.7,1.12,152.67
94,3.2,1.03,
95,3.2,1.03,
96,68.43,1.06,173.33
97,80.88,1.06,984.0
98,3.2,0.87,
99,54.58,0.88,266.67
