query,time (ms)
query 1,26.0
query 2,211.0
query 3,98.0
query 4,1147.0
query 5,26.0
query 6,10.0
query 7,26.0
query 8,47.0
query 9,74.0
query 10,366.0
query 12,24.0
query 13,75.0
query 16,2708.0
query 17,353.0
query 18,2109.0
query 19,39.0
query 20,461.0
query 22,224.0
