query_id, real_time(s), user_time(s), sys_time(s)
1, 18.926, 15.820503, 3.930351
2, 2.046, 2.100444, 0.755605
3, 9.511, 14.158964, 4.331566
4, 11.567, 12.560335, 3.731072
5, 8.616, 15.657862, 4.848606
6, 0.321, 3.829227, 4.335262
7, 0.891, 13.284910, 7.348355
8, 4.097, 12.793451, 5.470458
9, 3.587, 40.905946, 9.813246
10, 3.660, 24.445494, 7.036081
11, 0.180, 1.784685, 0.700777
12, 0.549, 9.216083, 4.661293
13, 8.222, 34.560233, 4.709228
14, 0.744, 7.897378, 5.887100
14, 0.002, 0.000776, 0.000000
15, 0.604, 10.539967, 6.008067
15, 0.004, 0.000461, 0.000000
16, 0.320, 6.431999, 1.351652
17, 0.679, 14.549188, 4.787541
18, 1.563, 30.012418, 6.146799
19, 0.958, 13.087386, 7.397922
20, 0.574, 9.257899, 5.543469
21, 1.956, 41.314434, 6.533332
22, 0.337, 7.887074, 0.726747
