CPU_time(ms), CPU_USAGE(%), GPU_time(ms), GPU_USAGE(%), RAM_time(ms), RAM_USED(Gb), VRAM_time(ms), VRAM_USED(Gb), POWER_time(ms), POWER_USE(W)
2025-04-06 13:24:00.764, 11.47, 2025-04-06 13:24:01.768, 7, 2025-04-06 13:24:01.787, 4.93, 2025-04-06 13:24:01.790, 3.75, 2025-04-06 13:24:01.808, 11.86
2025-04-06 13:24:00.865, 11.57, 2025-04-06 13:24:01.869, 2, 2025-04-06 13:24:01.888, 4.93, 2025-04-06 13:24:01.891, 3.75, 2025-04-06 13:24:01.908, 11.86
2025-04-06 13:24:00.966, 11.55, 2025-04-06 13:24:01.971, 2, 2025-04-06 13:24:01.989, 4.91, 2025-04-06 13:24:01.992, 3.75, 2025-04-06 13:24:02.009, 11.65
2025-04-06 13:24:01.067, 11.60, 2025-04-06 13:24:02.071, 2, 2025-04-06 13:24:02.090, 4.90, 2025-04-06 13:24:02.093, 3.75, 2025-04-06 13:24:02.111, 11.64
2025-04-06 13:24:01.168, 11.56, 2025-04-06 13:24:02.172, 2, 2025-04-06 13:24:02.191, 4.91, 2025-04-06 13:24:02.194, 3.75, 2025-04-06 13:24:02.212, 11.27
2025-04-06 13:24:01.270, 11.92, 2025-04-06 13:24:02.274, 6, 2025-04-06 13:24:02.292, 4.92, 2025-04-06 13:24:02.296, 3.75, 2025-04-06 13:24:02.314, 11.26
2025-04-06 13:24:01.371, 11.97, 2025-04-06 13:24:02.375, 6, 2025-04-06 13:24:02.393, 4.91, 2025-04-06 13:24:02.396, 3.75, 2025-04-06 13:24:02.415, 11.22
2025-04-06 13:24:01.472, 12.06, 2025-04-06 13:24:02.477, 6, 2025-04-06 13:24:02.495, 4.92, 2025-04-06 13:24:02.499, 3.75, 2025-04-06 13:24:02.516, 11.22
2025-04-06 13:24:01.573, 12.22, 2025-04-06 13:24:02.577, 6, 2025-04-06 13:24:02.596, 4.94, 2025-04-06 13:24:02.599, 3.75, 2025-04-06 13:24:02.616, 11.21
2025-04-06 13:24:01.675, 11.76, 2025-04-06 13:24:02.679, 2, 2025-04-06 13:24:02.697, 4.96, 2025-04-06 13:24:02.700, 3.75, 2025-04-06 13:24:02.718, 11.12
2025-04-06 13:24:01.776, 11.03, 2025-04-06 13:24:02.780, 2, 2025-04-06 13:24:02.798, 4.95, 2025-04-06 13:24:02.801, 3.75, 2025-04-06 13:24:02.819, 11.14
2025-04-06 13:24:01.877, 11.29, 2025-04-06 13:24:02.881, 0, 2025-04-06 13:24:02.899, 4.94, 2025-04-06 13:24:02.902, 3.75, 2025-04-06 13:24:02.919, 11.15
2025-04-06 13:24:01.978, 11.46, 2025-04-06 13:24:02.983, 0, 2025-04-06 13:24:03.001, 4.94, 2025-04-06 13:24:03.005, 3.75, 2025-04-06 13:24:03.023, 11.19
2025-04-06 13:24:02.079, 11.11, 2025-04-06 13:24:03.084, 4, 2025-04-06 13:24:03.103, 5.04, 2025-04-06 13:24:03.106, 3.75, 2025-04-06 13:24:03.124, 11.23
2025-04-06 13:24:02.180, 11.05, 2025-04-06 13:24:03.184, 4, 2025-04-06 13:24:03.203, 5.15, 2025-04-06 13:24:03.207, 3.75, 2025-04-06 13:24:03.225, 11.23
2025-04-06 13:24:02.282, 10.89, 2025-04-06 13:24:03.286, 18, 2025-04-06 13:24:03.305, 5.18, 2025-04-06 13:24:03.308, 3.75, 2025-04-06 13:24:03.327, 11.17
2025-04-06 13:24:02.383, 10.92, 2025-04-06 13:24:03.387, 18, 2025-04-06 13:24:03.406, 5.19, 2025-04-06 13:24:03.410, 3.75, 2025-04-06 13:24:03.429, 11.17
2025-04-06 13:24:02.484, 10.74, 2025-04-06 13:24:03.488, 1, 2025-04-06 13:24:03.507, 5.19, 2025-04-06 13:24:03.511, 3.75, 2025-04-06 13:24:03.529, 11.09
2025-04-06 13:24:02.585, 10.99, 2025-04-06 13:24:03.589, 1, 2025-04-06 13:24:03.608, 5.19, 2025-04-06 13:24:03.612, 3.75, 2025-04-06 13:24:03.631, 11.09
2025-04-06 13:24:02.686, 10.74, 2025-04-06 13:24:03.691, 2, 2025-04-06 13:24:03.710, 5.21, 2025-04-06 13:24:03.714, 3.75, 2025-04-06 13:24:03.733, 11.04
2025-04-06 13:24:02.787, 10.80, 2025-04-06 13:24:03.792, 2, 2025-04-06 13:24:03.811, 5.18, 2025-04-06 13:24:03.814, 3.75, 2025-04-06 13:24:03.833, 11.05
2025-04-06 13:24:02.889, 10.77, 2025-04-06 13:24:03.892, 0, 2025-04-06 13:24:03.912, 5.18, 2025-04-06 13:24:03.916, 3.75, 2025-04-06 13:24:03.936, 11.07
2025-04-06 13:24:02.990, 11.45, 2025-04-06 13:24:03.994, 0, 2025-04-06 13:24:04.015, 5.17, 2025-04-06 13:24:04.018, 3.75, 2025-04-06 13:24:04.037, 11.12
2025-04-06 13:24:03.091, 12.08, 2025-04-06 13:24:04.096, 8, 2025-04-06 13:24:04.116, 5.13, 2025-04-06 13:24:04.119, 3.75, 2025-04-06 13:24:04.139, 11.15
2025-04-06 13:24:03.193, 12.19, 2025-04-06 13:24:04.197, 8, 2025-04-06 13:24:04.219, 5.13, 2025-04-06 13:24:04.222, 3.75, 2025-04-06 13:24:04.243, 11.12
2025-04-06 13:24:03.294, 12.34, 2025-04-06 13:24:04.298, 11, 2025-04-06 13:24:04.321, 5.13, 2025-04-06 13:24:04.325, 3.75, 2025-04-06 13:24:04.345, 11.12
2025-04-06 13:24:03.395, 12.70, 2025-04-06 13:24:04.399, 11, 2025-04-06 13:24:04.421, 5.14, 2025-04-06 13:24:04.424, 3.75, 2025-04-06 13:24:04.444, 11.12
2025-04-06 13:24:03.497, 12.70, 2025-04-06 13:24:04.501, 3, 2025-04-06 13:24:04.523, 5.14, 2025-04-06 13:24:04.526, 3.75, 2025-04-06 13:24:04.545, 11.10
2025-04-06 13:24:03.598, 12.69, 2025-04-06 13:24:04.602, 3, 2025-04-06 13:24:04.623, 5.13, 2025-04-06 13:24:04.626, 3.75, 2025-04-06 13:24:04.646, 11.09
2025-04-06 13:24:03.699, 12.70, 2025-04-06 13:24:04.704, 0, 2025-04-06 13:24:04.725, 5.13, 2025-04-06 13:24:04.728, 3.75, 2025-04-06 13:24:04.748, 11.08
2025-04-06 13:24:03.801, 12.59, 2025-04-06 13:24:04.805, 0, 2025-04-06 13:24:04.827, 5.11, 2025-04-06 13:24:04.830, 3.75, 2025-04-06 13:24:04.850, 11.08
2025-04-06 13:24:03.902, 12.32, 2025-04-06 13:24:04.906, 0, 2025-04-06 13:24:04.925, 4.88, 2025-04-06 13:24:04.928, 3.75, 2025-04-06 13:24:04.946, 11.08
