query_id,time(ms)
1,53.0
2,60.0
3,38.0
4,1045.0
5,92.0
6,112.0
7,81.0
8,70.0
9,82.0
10,53.0
11,679.0
13,92.0
14,689.0
15,65.0
17,84.0
18,135.0
19,67.0
22,964.0
23,344.0
24,73.0
25,44.0
26,72.0
27,97.0
28,92.0
29,91.0
30,72.0
31,78.0
33,60.0
34,53.0
35,136.0
36,575.0
38,87.0
39,79.0
41,23.0
42,38.0
43,49.0
44,21.0
45,84.0
46,140.0
47,157.0
48,82.0
49,72.0
50,72.0
51,850.0
52,43.0
53,61.0
54,70.0
55,42.0
56,73.0
57,124.0
58,61.0
59,126.0
60,70.0
61,85.0
62,39.0
63,52.0
64,169.0
65,146.0
66,76.0
67,1006.9999999999999
68,92.0
69,35.0
70,65.0
71,68.0
72,230.0
73,54.0
74,484.0
75,188.0
76,76.0
78,236.0
79,82.0
81,115.0
83,31.0
84,27.0
85,65.0
86,48.0
87,102.0
88,92.0
89,62.0
90,17.0
91,23.0
93,56.0
96,27.0
97,98.0
99,44.0
