query,time (ms)
query 1,2399.0
query 2,28471.0
query 3,1185.0
query 6,586.0
query 7,1285.0
query 9,734.0
query 12,709.0
query 13,1093.0
query 17,2114.0
query 20,760.0
query 24,19678.0
query 25,1386.0
query 26,1557.0
query 29,1136.0
query 30,1409.0
query 32,6995.0
query 33,868.0
query 34,1197.0
query 37,34429.0
query 40,695.0
query 41,818.0
query 42,180.0
query 43,188.0
query 46,1605.0
query 48,270.0
query 50,709.0
query 52,618.0
query 53,304.0
query 54,21013.0
query 55,668.0
query 56,689.0
query 58,1081.0
query 59,1763.0
query 60,243.0
query 61,385.0
query 62,275.0
query 63,273.0
query 64,2277.0
query 65,1486.0
query 68,1465.0
query 71,3112.0
query 73,941.0
query 78,39457.0
query 79,1620.0
query 81,1819.0
query 82,66626.0
query 83,1140.0
query 89,967.0
query 91,329.0
query 92,3864.0
query 93,361.0
query 96,197.0
query 98,809.0
query 99,663.0
