query,time (ms)
query 1,1232.0
query 2,27117.0
query 3,12.0
query 6,83.0
query 7,50.0
query 9,104.0
query 12,90.0
query 13,66.0
query 17,288.0
query 20,92.0
query 24,8923.0
query 25,239.0
query 26,43.0
query 29,240.0
query 30,198.0
query 32,6123.0
query 33,125.0
query 34,152.0
query 37,16154.0
query 40,51.0
query 41,69.0
query 42,15.0
query 43,18.0
query 46,631.0
query 48,39.0
query 50,65.0
query 52,12.0
query 53,82.0
query 54,14959.0
query 55,12.0
query 56,76.0
query 58,149.0
query 59,413.0
query 60,97.0
query 61,54.0
query 62,22.0
query 63,81.0
query 64,365.0
query 65,186.0
query 68,88.0
query 71,1485.0
query 73,37.0
query 78,37100.0
query 79,652.0
query 81,340.0
query 82,32534.0
query 83,153.0
query 89,315.0
query 91,18.0
query 92,3120.0
query 93,59.0
query 96,11.0
query 98,203.0
query 99,24.0
