query,time (ms)
query 1,1228.0
query 2,27089.0
query 3,11.0
query 6,84.0
query 7,50.0
query 9,104.0
query 12,88.0
query 13,69.0
query 17,289.0
query 20,90.0
query 24,8981.0
query 25,237.0
query 26,43.0
query 29,238.0
query 30,195.0
query 32,6125.0
query 33,121.0
query 34,157.0
query 37,16153.0
query 40,49.0
query 41,68.0
query 42,14.0
query 43,18.0
query 46,630.0
query 48,38.0
query 50,64.0
query 52,12.0
query 53,82.0
query 54,15020.0
query 55,12.0
query 56,78.0
query 58,150.0
query 59,415.0
query 60,96.0
query 61,54.0
query 62,21.0
query 63,81.0
query 64,364.0
query 65,184.0
query 68,89.0
query 71,1508.0
query 73,36.0
query 78,37023.0
query 79,653.0
query 81,345.0
query 82,32539.0
query 83,152.0
query 89,318.0
query 91,18.0
query 92,3099.0
query 93,58.0
query 96,11.0
query 98,197.0
query 99,24.0
