query,time (ms)
query 1,1362.0
query 2,7951.0
query 3,604.0
query 6,412.0
query 7,284.0
query 9,413.0
query 12,675.0
query 13,349.0
query 17,1219.0
query 20,674.0
query 21,741.0
query 24,7930.0
query 25,1134.0
query 26,287.0
query 29,737.0
query 30,1388.0
query 32,2382.0
query 33,602.0
query 34,1050.0
query 37,779.0
query 40,287.0
query 41,745.0
query 42,204.0
query 43,183.0
query 46,1042.0
query 48,224.0
query 50,639.0
query 52,651.0
query 53,258.0
query 54,6112.0
query 55,655.0
query 56,703.0
query 58,1007.0
query 59,1804.0
query 60,248.0
query 61,360.0
query 62,227.0
query 63,293.0
query 64,1658.0
query 65,1597.0
query 68,1057.0
query 71,1594.0
query 73,930.0
query 78,11495.0
query 79,949.0
query 81,1388.0
query 82,810.0
query 83,914.0
query 89,939.0
query 91,214.0
query 92,1880.0
query 93,197.0
query 96,161.0
query 98,870.0
query 99,230.0
