query,time (ms)
query 1,213.0
query 2,7045.0
query 3,10.0
query 6,74.0
query 7,34.0
query 9,89.0
query 12,95.0
query 13,32.0
query 17,127.0
query 20,102.0
query 21,54.0
query 24,3490.0
query 25,103.0
query 26,28.0
query 29,77.0
query 30,109.0
query 32,1640.0
query 33,117.0
query 34,49.0
query 37,114.0
query 40,32.0
query 41,70.0
query 42,12.0
query 43,16.0
query 46,98.0
query 48,22.0
query 50,34.0
query 52,10.0
query 53,65.0
query 54,3848.0
query 55,12.0
query 56,88.0
query 58,120.0
query 59,430.0
query 60,105.0
query 61,39.0
query 62,19.0
query 63,65.0
query 64,180.0
query 65,309.0
query 68,65.0
query 71,308.0
query 73,34.0
query 78,9363.0
query 79,59.0
query 81,228.0
query 82,210.0
query 83,117.0
query 89,306.0
query 91,20.0
query 92,839.0
query 93,27.0
query 96,9.0
query 98,275.0
query 99,19.0
