query,time (ms)
query 1,215.0
query 2,7014.0
query 3,10.0
query 6,74.0
query 7,37.0
query 9,90.0
query 12,97.0
query 13,30.0
query 17,129.0
query 20,103.0
query 21,53.0
query 24,3499.0
query 25,103.0
query 26,29.0
query 29,79.0
query 30,110.0
query 32,1611.0
query 33,118.0
query 34,51.0
query 37,115.0
query 40,33.0
query 41,71.0
query 42,12.0
query 43,16.0
query 46,93.0
query 48,22.0
query 50,30.0
query 52,10.0
query 53,66.0
query 54,3923.0
query 55,10.0
query 56,94.0
query 58,114.0
query 59,433.0
query 60,106.0
query 61,39.0
query 62,19.0
query 63,66.0
query 64,179.0
query 65,306.0
query 68,67.0
query 71,301.0
query 73,35.0
query 78,9386.0
query 79,60.0
query 81,226.0
query 82,213.0
query 83,117.0
query 89,307.0
query 91,20.0
query 92,852.0
query 93,27.0
query 96,9.0
query 98,268.0
query 99,19.0
