query,time (ms)
query 1,104.0
query 2,1586.0
query 3,9.0
query 6,66.0
query 7,173.0
query 9,86.0
query 12,69.0
query 13,23.0
query 17,80.0
query 20,74.0
query 21,37.0
query 24,409.0
query 25,29.0
query 26,169.0
query 29,30.0
query 30,77.0
query 32,392.0
query 33,113.0
query 34,33.0
query 37,26.0
query 40,30.0
query 41,70.0
query 42,12.0
query 43,15.0
query 44,173.0
query 46,44.0
query 48,17.0
query 50,50.0
query 52,9.0
query 53,63.0
query 54,842.0
query 55,9.0
query 56,385.0
query 58,201.0
query 59,230.0
query 60,297.0
query 61,34.0
query 62,17.0
query 63,59.0
query 64,166.0
query 65,66.0
query 68,37.0
query 71,101.0
query 73,25.0
query 78,1937.0
query 79,48.0
query 81,95.0
query 82,39.0
query 83,196.0
query 89,295.0
query 91,18.0
query 92,235.0
query 93,13.0
query 96,9.0
query 98,118.0
query 99,17.0
