query,time (ms)
query 1,620.0
query 2,1598.0
query 3,280.0
query 6,73.0
query 7,190.0
query 9,101.0
query 12,336.0
query 13,45.0
query 17,367.0
query 20,337.0
query 21,83.0
query 24,1032.0
query 25,308.0
query 26,173.0
query 29,310.0
query 30,601.0
query 32,395.0
query 33,116.0
query 34,295.0
query 37,305.0
query 40,28.0
query 41,75.0
query 42,12.0
query 43,15.0
query 44,175.0
query 46,313.0
query 48,18.0
query 50,50.0
query 52,277.0
query 53,63.0
query 54,1352.0
query 55,271.0
query 56,400.0
query 58,262.0
query 59,234.0
query 60,365.0
query 61,35.0
query 62,24.0
query 63,60.0
query 64,734.0
query 65,66.0
query 68,303.0
query 71,392.0
query 73,287.0
query 78,2742.0
query 79,312.0
query 81,622.0
query 82,331.0
query 83,256.0
query 89,563.0
query 91,20.0
query 92,236.0
query 93,14.0
query 96,10.0
query 98,382.0
query 99,23.0
