query,time (ms)
query 1,107.0
query 2,1594.0
query 3,10.0
query 6,67.0
query 7,171.0
query 9,88.0
query 12,69.0
query 13,23.0
query 17,80.0
query 20,74.0
query 21,37.0
query 24,409.0
query 25,30.0
query 26,171.0
query 29,30.0
query 30,74.0
query 32,421.0
query 33,115.0
query 34,33.0
query 37,26.0
query 40,24.0
query 41,72.0
query 42,12.0
query 43,15.0
query 44,174.0
query 46,45.0
query 48,17.0
query 50,50.0
query 52,10.0
query 53,62.0
query 54,837.0
query 55,10.0
query 56,301.0
query 58,258.0
query 59,238.0
query 60,295.0
query 61,34.0
query 62,18.0
query 63,60.0
query 64,161.0
query 65,66.0
query 68,40.0
query 71,101.0
query 73,24.0
query 78,1935.0
query 79,48.0
query 81,97.0
query 82,40.0
query 83,196.0
query 89,296.0
query 91,18.0
query 92,254.0
query 93,14.0
query 96,8.0
query 98,115.0
query 99,18.0
