query,time (ms)
query 1,22.0
query 2,44.0
query 3,10.0
query 4,831.0
query 5,12.0
query 6,9.0
query 7,13.0
query 8,21.0
query 9,12.0
query 10,12.0
query 12,15.0
query 13,173.0
query 14,14.0
query 16,18.0
query 17,2620.0
query 18,1768.0
query 19,14.0
query 20,439.0
