query_id,cpu_used(%),ram_used(gb),time(ms)
1,23.8,0.81,63.0
2,87.5,0.83,163.0
3,24.2,0.82,46.0
4,69.4,1.0,1356.0
5,59.7,0.73,116.0
6,25.8,0.77,67.0
7,60.3,0.87,161.0
8,31.7,0.84,73.0
9,83.1,0.87,234.0
10,37.1,0.89,69.0
11,58.1,0.93,882.0
12,3.3,0.85,
13,67.7,0.91,157.0
14,96.9,1.12,813.5
15,16.4,0.94,47.0
16,3.2,0.94,
17,42.6,0.96,99.0
18,43.5,0.93,109.0
19,36.1,0.92,75.0
20,4.8,0.92,
21,3.2,0.89,
22,98.5,0.91,568.0
23,93.9,1.21,905.5
24,42.9,0.91,47.0
25,17.7,0.91,46.0
26,27.0,0.91,62.0
27,59.4,1.0,168.0
28,80.0,0.92,262.0
29,47.5,0.95,102.0
30,16.4,0.95,60.0
31,51.6,0.95,105.0
32,3.2,0.95,
33,31.7,0.96,72.0
34,38.1,0.93,72.0
35,72.1,0.98,164.0
36,54.0,0.93,271.0
37,3.2,0.89,
38,66.2,0.91,174.0
39,63.5,0.91,79.5
40,3.2,0.92,
41,7.9,0.92,13.0
42,22.2,0.93,42.0
43,60.3,0.92,101.0
44,34.9,0.9,55.0
45,14.5,0.89,44.0
46,61.9,0.91,155.0
47,73.4,0.95,361.0
48,70.5,0.93,144.0
49,44.3,0.93,92.0
50,57.1,0.93,106.0
51,90.5,1.01,800.0
52,24.2,0.85,46.0
53,31.1,0.85,65.0
54,33.3,0.85,70.0
55,24.2,0.84,46.0
56,41.3,0.87,89.0
57,71.4,0.89,138.0
58,26.2,0.88,57.0
59,84.6,0.87,280.0
60,40.3,0.91,87.0
61,12.9,0.91,26.0
62,25.8,0.93,42.0
63,28.6,0.93,59.0
64,72.3,0.94,268.0
65,77.3,0.88,220.0
66,25.4,0.9,64.0
67,97.0,1.36,1711.0
68,57.4,1.02,127.0
69,39.7,1.04,78.0
70,69.4,1.06,118.0
71,34.4,1.06,74.0
72,47.6,1.09,164.0
73,37.1,1.11,68.0
74,60.7,1.19,574.0
75,68.3,1.19,234.0
76,50.0,1.1,100.0
77,3.2,1.1,
78,87.5,1.17,493.0
79,57.1,0.98,112.0
80,3.2,0.98,
81,17.7,0.98,58.0
82,3.2,0.98,
83,12.7,0.98,21.0
84,15.9,0.98,33.0
85,34.9,1.0,78.0
86,20.6,1.0,36.0
87,68.2,1.0,195.0
88,75.4,1.0,230.0
89,43.5,0.96,83.0
90,12.7,0.95,19.0
91,20.6,0.95,40.0
92,4.7,0.95,
93,76.9,0.95,189.0
94,3.3,0.91,
95,3.2,0.91,
96,22.6,0.87,40.0
97,76.6,0.88,183.0
98,4.8,0.82,
99,33.9,0.82,61.0
