query_id,cpu_used(%),ram_used(gb),time(ms)
1,53.2,1.02,114.0
2,86.2,1.04,381.0
3,57.1,0.96,112.0
4,79.4,1.31,2610.0
5,64.1,1.09,283.0
6,48.4,1.02,134.0
7,63.5,1.08,362.0
8,62.5,0.93,159.0
9,98.5,0.93,594.0
10,64.5,0.98,129.0
11,85.9,1.24,1748.0
12,3.2,1.01,
13,65.6,1.14,349.0
14,98.5,1.76,2266.0
15,21.9,1.17,69.0
16,3.2,1.17,
17,65.6,1.18,213.0
18,60.3,1.07,188.0
19,64.1,1.02,163.0
20,3.2,1.01,
21,3.3,0.99,
22,98.5,4.97,4971.0
23,98.5,1.82,2273.5
24,61.3,1.06,165.0
25,32.3,1.01,72.0
26,51.6,1.08,119.0
27,65.1,1.14,370.0
28,68.3,1.1,638.0
29,63.5,1.12,230.0
30,35.5,1.08,91.0
31,68.3,1.08,229.0
32,3.3,0.99,
33,63.6,1.07,171.0
34,75.0,1.07,163.0
35,71.9,1.06,302.0
36,64.6,1.13,635.0
37,3.3,0.95,
38,75.0,1.01,343.0
39,72.6,1.0,199.5
40,3.2,1.0,
41,9.7,0.99,21.0
42,43.5,1.0,94.0
43,81.2,1.01,245.0
44,80.6,0.96,129.0
45,27.4,0.94,84.0
46,72.3,1.02,356.0
47,90.9,1.15,732.0
48,70.5,1.06,320.0
49,60.9,1.04,209.0
50,78.8,1.06,293.0
51,96.9,1.39,1925.0
52,50.0,0.9,99.0
53,65.6,0.98,140.0
54,63.5,0.98,146.0
55,47.5,0.93,99.0
56,59.7,1.04,182.0
57,74.6,1.08,265.0
58,54.0,1.06,124.0
59,95.5,1.09,662.0
60,62.9,1.17,200.0
61,14.5,1.09,25.0
62,56.5,1.09,94.0
63,65.6,1.09,152.0
64,87.7,1.15,660.0
65,98.5,1.13,546.0
66,54.1,1.06,116.0
67,98.5,2.91,5245.0
68,67.2,1.32,277.0
69,68.3,1.19,139.0
70,72.7,1.22,282.0
71,65.1,1.14,154.0
72,58.1,1.14,331.0
73,73.0,1.07,153.0
74,69.8,1.12,1148.0
75,72.6,1.07,547.0
76,68.8,1.11,239.0
77,3.3,0.95,
78,86.8,1.49,1291.0
79,73.0,1.22,240.0
80,3.2,1.08,
81,39.7,1.09,138.0
82,3.2,1.08,
83,19.4,1.09,36.0
84,24.2,1.1,49.0
85,60.7,1.13,137.0
86,41.9,1.15,78.0
87,76.9,1.15,385.0
88,98.5,1.14,524.0
89,68.3,1.15,168.0
90,22.6,1.05,39.0
91,22.6,1.04,41.0
92,4.8,1.04,
93,93.9,1.09,540.0
94,30.6,0.99,67.0
95,3.3,0.99,
96,44.4,0.93,86.0
97,98.5,1.01,454.0
98,3.2,1.0,
99,77.8,1.01,127.0
