query_id,cpu_used(%),ram_used(gb),time(ms)
1,23.8,0.76,61.0
2,85.7,0.8,161.0
3,24.2,0.82,46.0
4,69.4,1.0,1333.0
5,56.5,0.73,115.0
6,25.8,0.77,67.0
7,59.7,0.87,160.0
8,31.7,0.84,73.0
9,83.1,0.87,233.0
10,34.4,0.89,68.0
11,56.5,0.93,860.0
12,3.2,0.85,
13,65.6,0.91,157.0
14,96.9,1.04,813.5
15,16.4,0.75,47.0
16,3.2,0.75,
17,42.6,0.68,98.0
18,40.3,0.64,104.0
19,34.9,0.66,73.0
20,3.2,0.66,
21,3.2,0.64,
22,98.5,0.66,568.0
23,93.9,1.2,904.5
24,41.9,0.79,47.0
25,17.7,0.79,46.0
26,27.0,0.82,62.0
27,59.4,0.91,168.0
28,76.1,0.84,262.0
29,46.0,0.78,101.0
30,16.4,0.79,60.0
31,49.2,0.81,103.0
32,3.2,0.81,
33,29.5,0.77,72.0
34,38.1,0.8,72.0
35,69.4,0.83,164.0
36,53.2,0.88,254.0
37,3.2,0.78,
38,64.6,0.81,174.0
39,58.1,0.82,79.0
40,3.2,0.82,
41,4.8,0.82,12.0
42,22.2,0.83,42.0
43,58.1,0.85,99.0
44,33.9,0.85,55.0
45,14.5,0.85,43.0
46,57.1,0.85,152.0
47,70.8,0.85,361.0
48,70.5,0.86,137.0
49,41.3,0.85,91.0
50,57.1,0.83,105.0
51,90.5,0.96,785.0
52,22.6,0.79,46.0
53,29.0,0.81,62.0
54,33.3,0.82,70.0
55,24.2,0.84,45.0
56,34.9,0.81,82.0
57,71.4,0.82,137.0
58,24.6,0.83,57.0
59,84.6,0.85,280.0
60,40.3,0.91,84.0
61,12.9,0.91,26.0
62,25.8,0.93,42.0
63,28.6,0.93,59.0
64,70.8,0.94,266.0
65,73.4,0.88,220.0
66,24.2,0.9,63.0
67,94.0,1.36,1711.0
68,54.1,0.73,125.0
69,38.7,0.78,78.0
70,69.4,0.8,118.0
71,32.8,0.84,72.0
72,47.6,0.88,161.0
73,35.5,0.89,66.0
74,53.2,0.92,549.0
75,66.2,0.88,234.0
76,46.8,0.87,98.0
77,3.2,0.86,
78,86.6,0.99,493.0
79,54.1,0.88,111.0
80,3.2,0.88,
81,14.8,0.88,58.0
82,3.2,0.88,
83,11.3,0.87,21.0
84,15.9,0.87,32.0
85,34.9,0.89,78.0
86,19.0,0.89,35.0
87,68.2,0.9,189.0
88,75.4,0.86,230.0
89,43.5,0.88,83.0
90,11.3,0.88,19.0
91,19.4,0.88,36.0
92,4.7,0.87,
93,76.9,0.89,189.0
94,3.3,0.82,
95,3.2,0.82,
96,21.0,0.83,38.0
97,76.6,0.85,182.0
98,3.2,0.81,
99,32.3,0.81,59.0
