query_id | cpu_time(ms) | cpu_used(%) | ram_time(ms) | ram_used(gb)
43 | 2025-04-10 22:52:45.529 | 24,4 | 2025-04-10 22:52:45.772 | 2,16
44 | 2025-04-10 22:52:45.855 | 37,6 | 2025-04-10 22:52:46.101 | 2,16
45 | 2025-04-10 22:52:46.183 | 16,1 | 2025-04-10 22:52:46.425 | 2,18
46 | 2025-04-10 22:52:46.507 | 34,1 | 2025-04-10 22:52:46.753 | 2,21
47 | 2025-04-10 22:52:46.914 | 0 | 2025-04-10 22:52:46.922 | 0
47 | 2025-04-10 22:52:46.839 | 9,8 | 2025-04-10 22:52:47.089 | 2,18
48 | 2025-04-10 22:52:47.176 | 33,3 | 2025-04-10 22:52:47.427 | 2,17
49 | 2025-04-10 22:52:47.510 | 25,7 | 2025-04-10 22:52:47.752 | 2,17
50 | 2025-04-10 22:52:47.835 | 27,6 | 2025-04-10 22:52:48.079 | 2,14
51 | 2025-04-10 22:52:48.165 | 50,8 | 2025-04-10 22:52:48.439 | 2,19
51 | 2025-04-10 22:52:48.527 | 51,4 | 2025-04-10 22:52:48.783 | 2,24
51 | 2025-04-10 22:52:48.861 | 5,8 | 2025-04-10 22:52:49.106 | 2,14
52 | 2025-04-10 22:52:49.186 | 17,6 | 2025-04-10 22:52:49.431 | 2,16
53 | 2025-04-10 22:52:49.515 | 19,8 | 2025-04-10 22:52:49.765 | 2,16
54 | 2025-04-10 22:52:49.849 | 14,1 | 2025-04-10 22:52:50.093 | 2,17
55 | 2025-04-10 22:52:50.176 | 16,5 | 2025-04-10 22:52:50.421 | 2,16
56 | 2025-04-10 22:52:50.505 | 22,3 | 2025-04-10 22:52:50.750 | 2,16
57 | 2025-04-10 22:52:50.913 | 0 | 2025-04-10 22:52:50.921 | 0
57 | 2025-04-10 22:52:50.833 | 11,0 | 2025-04-10 22:52:51.085 | 2,15
58 | 2025-04-10 22:52:51.251 | 0 | 2025-04-10 22:52:51.259 | 0
58 | 2025-04-10 22:52:51.172 | 10,3 | 2025-04-10 22:52:51.422 | 2,14
59 | 2025-04-10 22:52:51.508 | 47,8 | 2025-04-10 22:52:51.762 | 2,17
60 | 2025-04-10 22:52:51.846 | 23,8 | 2025-04-10 22:52:52.092 | 2,10
61 | 2025-04-10 22:52:52.177 | 18,7 | 2025-04-10 22:52:52.423 | 2,10
62 | 2025-04-10 22:52:52.507 | 20,0 | 2025-04-10 22:52:52.754 | 2,11
63 | 2025-04-10 22:52:52.838 | 25,6 | 2025-04-10 22:52:53.080 | 2,14
64 | 2025-04-10 22:52:53.163 | 45,8 | 2025-04-10 22:52:53.441 | 2,18
64 | 2025-04-10 22:52:53.537 | 35,3 | 2025-04-10 22:52:53.802 | 2,13
65 | 2025-04-10 22:52:53.890 | 48,0 | 2025-04-10 22:52:54.185 | 2,20
66 | 2025-04-10 22:52:54.285 | 43,2 | 2025-04-10 22:52:54.543 | 2,20
67 | 2025-04-10 22:52:54.631 | 45,8 | 2025-04-10 22:52:54.934 | 2,25
67 | 2025-04-10 22:52:55.065 | 80,5 | 2025-04-10 22:52:55.496 | 2,37
67 | 2025-04-10 22:52:55.638 | 73,1 | 2025-04-10 22:52:56.020 | 2,49
67 | 2025-04-10 22:52:56.148 | 82,1 | 2025-04-10 22:52:56.456 | 2,58
67 | 2025-04-10 22:52:56.544 | 13,9 | 2025-04-10 22:52:56.793 | 2,16
68 | 2025-04-10 22:52:56.880 | 32,4 | 2025-04-10 22:52:57.128 | 2,23
69 | 2025-04-10 22:52:57.210 | 31,6 | 2025-04-10 22:52:57.454 | 2,24
70 | 2025-04-10 22:52:57.535 | 34,1 | 2025-04-10 22:52:57.784 | 2,24
71 | 2025-04-10 22:52:57.871 | 42,0 | 2025-04-10 22:52:58.126 | 2,23
72 | 2025-04-10 22:52:58.304 | 0 | 2025-04-10 22:52:58.311 | 0
72 | 2025-04-10 22:52:58.211 | 21,4 | 2025-04-10 22:52:58.466 | 2,23
73 | 2025-04-10 22:52:58.550 | 39,0 | 2025-04-10 22:52:58.812 | 2,23
74 | 2025-04-10 22:52:58.902 | 47,1 | 2025-04-10 22:52:59.183 | 2,28
74 | 2025-04-10 22:52:59.275 | 46,2 | 2025-04-10 22:52:59.536 | 2,29
74 | 2025-04-10 22:52:59.625 | 41,9 | 2025-04-10 22:52:59.893 | 2,27
75 | 2025-04-10 22:52:59.982 | 43,9 | 2025-04-10 22:53:00.245 | 2,31
75 | 2025-04-10 22:53:00.329 | 22,0 | 2025-04-10 22:53:00.586 | 2,25
76 | 2025-04-10 22:53:00.677 | 37,5 | 2025-04-10 22:53:00.937 | 2,28
77 | 2025-04-10 22:53:01.115 | 0 | 2025-04-10 22:53:01.126 | 0
77 | 2025-04-10 22:53:01.026 | 27,9 | 2025-04-10 22:53:01.286 | 2,26
78 | 2025-04-10 22:53:01.377 | 44,0 | 2025-04-10 22:53:01.686 | 2,30
78 | 2025-04-10 22:53:01.827 | 58,0 | 2025-04-10 22:53:02.162 | 2,26
79 | 2025-04-10 22:53:02.251 | 38,5 | 2025-04-10 22:53:02.507 | 2,28
80 | 2025-04-10 22:53:02.676 | 0 | 2025-04-10 22:53:02.682 | 0
80 | 2025-04-10 22:53:02.596 | 15,5 | 2025-04-10 22:53:02.850 | 2,27
81 | 2025-04-10 22:53:02.940 | 22,9 | 2025-04-10 22:53:03.183 | 2,28
82 | 2025-04-10 22:53:03.345 | 0 | 2025-04-10 22:53:03.353 | 0
82 | 2025-04-10 22:53:03.267 | 12,0 | 2025-04-10 22:53:03.522 | 2,23
83 | 2025-04-10 22:53:03.608 | 17,2 | 2025-04-10 22:53:03.856 | 2,23
84 | 2025-04-10 22:53:03.949 | 28,0 | 2025-04-10 22:53:04.203 | 2,23
85 | 2025-04-10 22:53:04.369 | 0 | 2025-04-10 22:53:04.376 | 0
85 | 2025-04-10 22:53:04.287 | 12,0 | 2025-04-10 22:53:04.546 | 2,22
86 | 2025-04-10 22:53:04.631 | 29,1 | 2025-04-10 22:53:04.878 | 2,22
87 | 2025-04-10 22:53:04.965 | 54,1 | 2025-04-10 22:53:05.257 | 2,26
88 | 2025-04-10 22:53:05.338 | 44,6 | 2025-04-10 22:53:05.593 | 2,26
89 | 2025-04-10 22:53:05.674 | 29,2 | 2025-04-10 22:53:05.918 | 2,20
