query_id,time(ms)
1,130.0
2,159.0
3,111.0
4,5893.0
5,287.0
6,236.0
7,253.0
8,145.0
9,439.0
10,137.0
11,2957.0
13,290.0
14,3977.0
15,96.0
17,238.0
18,274.0
19,169.0
22,441.0
23,1564.0
24,276.0
25,249.0
26,79.0
27,307.0
28,365.0
29,259.0
30,130.0
31,206.0
33,191.0
34,150.0
35,359.0
36,279.0
38,293.0
39,75.0
41,17.0
42,120.0
43,146.0
44,72.0
45,140.0
46,405.0
47,417.0
48,259.0
49,238.0
50,208.0
51,1736.0
52,133.0
53,154.0
54,210.0
55,131.0
56,201.0
57,150.0
58,167.0
59,358.0
60,190.0
61,242.0
62,88.0
63,142.0
64,538.0
65,422.0
66,136.0
67,4363.0
68,346.0
69,170.0
70,211.0
71,178.0
72,769.0
73,153.0
74,2213.0
75,585.0
76,248.0
78,1059.0
79,251.0
81,170.0
83,49.0
84,44.0
85,183.0
86,78.0
87,337.0
88,301.0
89,168.0
90,53.0
91,36.0
93,196.0
96,88.0
97,347.0
99,92.0
