query_id, real_time(s), user_time(s), sys_time(s)
01, 0.078, 0.175980, 0.111938
02, 0.065, 0.456628, 0.185055
03, 0.083, 0.155150, 0.192442
04, 1.133, 3.125009, 0.713897
05, 0.089, 0.417793, 0.487166
06, 0.078, 0.185528, 0.183026
07, 0.104, 0.372328, 0.484901
08, 0.056, 0.181385, 0.236338
09, 0.056, 0.833534, 0.511504
10, 0.052, 0.178795, 0.176346
11, 0.490, 1.983025, 0.540535
13, 0.062, 0.471151, 0.373866
14, 0.287, 3.903518, 0.970993
14, 0.189, 2.711659, 0.197065
15, 0.052, 0.079145, 0.092332
17, 0.078, 0.260528, 0.311138
18, 0.101, 0.251059, 0.168813
19, 0.046, 0.261830, 0.183254
22, 0.430, 8.062235, 2.821669
23, 0.170, 3.489611, 0.912949
23, 0.131, 3.389650, 0.207466
24, 0.050, 0.272197, 0.237199
24, 0.026, 0.192183, 0.004004
25, 0.035, 0.089677, 0.111904
26, 0.061, 0.161711, 0.130536
27, 0.086, 0.433022, 0.436979
28, 0.059, 0.985186, 0.248767
29, 0.061, 0.281434, 0.324380
30, 0.070, 0.134945, 0.091992
31, 0.066, 0.367651, 0.317185
33, 0.041, 0.220614, 0.303739
34, 0.041, 0.234039, 0.278727
35, 0.094, 0.457854, 0.267415
36, 0.298, 0.574741, 0.367824
38, 0.066, 0.564185, 0.196806
39, 0.059, 0.276181, 0.186757
39, 0.045, 0.294305, 0.041958
41, 0.016, 0.021166, 0.024679
42, 0.027, 0.117763, 0.209636
43, 0.046, 0.319955, 0.255882
44, 0.014, 0.138284, 0.051110
45, 0.066, 0.108358, 0.093985
46, 0.113, 0.471963, 0.302038
47, 0.117, 1.283526, 0.713434
48, 0.058, 0.387935, 0.345226
49, 0.059, 0.295192, 0.436339
50, 0.046, 0.422079, 0.273299
51, 0.480, 3.808054, 1.269022
52, 0.032, 0.121095, 0.243811
53, 0.038, 0.199021, 0.262716
54, 0.047, 0.210320, 0.201570
55, 0.030, 0.169520, 0.183362
56, 0.046, 0.253585, 0.398222
57, 0.078, 0.561328, 0.389697
58, 0.044, 0.171023, 0.294975
59, 0.073, 0.806067, 0.255135
60, 0.054, 0.291361, 0.411445
61, 0.033, 0.140171, 0.296347
62, 0.029, 0.169396, 0.201839
63, 0.033, 0.192851, 0.224549
64, 0.119, 0.891030, 0.434949
65, 0.078, 0.805800, 0.281728
66, 0.053, 0.164414, 0.307784
67, 0.473, 8.413977, 3.285264
68, 0.068, 0.298805, 0.432030
69, 0.051, 0.194034, 0.168654
70, 0.050, 0.403652, 0.324371
71, 0.054, 0.183231, 0.312216
72, 0.161, 0.414462, 0.267599
73, 0.038, 0.197510, 0.240195
74, 0.318, 1.313241, 0.428706
75, 0.101, 0.745170, 0.499237
76, 0.051, 0.307569, 0.510012
78, 0.140, 1.688800, 0.707824
79, 0.058, 0.312612, 0.351892
81, 0.100, 0.172505, 0.086766
83, 0.022, 0.068722, 0.070229
84, 0.027, 0.065439, 0.034767
85, 0.059, 0.140049, 0.196310
86, 0.037, 0.146643, 0.204674
87, 0.072, 0.671683, 0.191311
88, 0.059, 0.748412, 0.193790
89, 0.047, 0.290007, 0.288397
90, 0.015, 0.054746, 0.098774
91, 0.027, 0.046002, 0.035702
93, 0.062, 0.576127, 0.225548
94, 0.036, 0.100152, 0.152811
96, 0.019, 0.121445, 0.171985
97, 0.072, 0.582313, 0.258423
99, 0.037, 0.217980, 0.116739
