query_id, real_time(s), user_time(s), sys_time(s)
1, 0.076, 1.592094, 0.429024
2, 0.062, 0.251902, 0.138667
3, 0.111, 1.272312, 0.628061
4, 0.093, 0.941648, 0.445367
5, 0.098, 1.136059, 0.670140
6, 0.043, 0.367461, 0.557380
7, 0.112, 1.158811, 0.858961
8, 0.104, 1.276696, 0.818195
9, 0.306, 3.722814, 1.315312
10, 0.203, 2.323347, 0.884380
11, 0.030, 0.238747, 0.137890
12, 0.074, 0.741018, 0.681334
13, 0.167, 3.111485, 0.685512
14, 0.086, 0.717068, 0.717784
14, 0.002, 0.000712, 0.000000
15, 0.082, 1.015613, 0.645901
15, 0.002, 0.000241, 0.000153
16, 0.068, 0.584819, 0.192472
17, 0.096, 1.731836, 0.513952
18, 0.157, 2.714625, 0.789406
19, 0.113, 1.337183, 0.830963
20, 0.082, 0.863827, 0.704816
21, 0.257, 3.138796, 0.826662
22, 0.063, 0.591910, 0.097047
