query_id,time(ms)
1,141.0
2,144.0
3,91.0
4,4526.0
5,230.0
6,214.0
7,201.0
8,116.0
9,314.0
10,106.0
11,2851.0
12,71.0
13,228.0
14,2448.0
15,76.0
16,44.0
17,204.0
18,202.0
19,141.0
20,44.0
21,20.0
22,169.0
23,972.0
24,176.0
25,197.0
26,71.0
27,206.0
28,310.0
29,192.0
30,118.0
31,169.0
32,23.0
33,148.0
34,129.0
35,244.0
36,179.0
37,19.0
38,215.0
39,64.0
40,121.0
41,17.0
42,85.0
43,118.0
44,168.0
45,148.0
46,319.0
47,365.0
48,199.0
49,188.0
50,168.0
51,1175.0
52,100.0
53,132.0
54,189.0
55,95.0
56,152.0
57,115.0
58,128.0
59,278.0
60,156.0
61,41.0
62,72.0
63,110.0
64,444.0
65,279.0
66,130.0
67,2265.0
68,225.0
69,119.0
70,160.0
71,129.0
72,645.0
73,124.0
74,1942.0
75,454.0
76,179.0
77,172.0
78,872.0
79,219.0
80,366.0
81,153.0
82,55.0
83,47.0
84,42.0
85,162.0
86,76.0
87,245.0
88,241.0
89,129.0
90,39.0
91,35.0
92,47.0
93,202.0
94,79.0
95,1125.0
96,73.0
97,374.0
98,116.0
99,83.0
