query_id,time(ms)
1,62.0
2,41.0
3,27.0
4,570.0
5,60.0
6,75.0
7,82.0
8,51.0
9,53.0
10,49.0
11,487.0
13,61.0
14,279.0
15,52.0
17,67.0
18,97.0
19,45.0
22,422.0
23,172.0
24,49.0
25,36.0
26,49.0
27,89.0
28,54.0
29,58.0
30,60.0
31,60.0
33,35.0
34,42.0
35,97.0
36,299.0
38,58.0
39,58.0
41,16.0
42,24.0
43,39.0
44,12.0
45,55.0
46,111.0
47,112.0
48,55.0
49,48.0
50,46.0
51,481.0
52,29.0
53,39.0
54,44.0
55,28.0
56,48.0
57,79.0
58,42.0
59,73.0
60,56.0
61,35.0
62,34.0
63,32.0
64,119.0
65,73.0
66,55.0
67,485.0
68,67.0
69,46.0
70,46.0
71,50.0
72,155.0
73,44.0
74,325.0
75,102.0
76,51.0
78,145.0
79,54.0
81,103.0
83,22.0
84,24.0
85,48.0
86,37.0
87,65.0
88,56.0
89,46.0
90,13.0
91,20.0
93,63.0
94,30.0
96,19.0
97,73.0
99,34.0
