query_id,cpu_used(%),ram_used(gb),time(ms)
1,70.3,0.85,364.0
2,95.5,0.96,1465.0
3,66.7,1.09,405.0
4,98.5,2.7,9472.0
5,97.0,1.75,1212.0
6,63.5,1.27,443.0
7,74.2,1.59,898.0
8,74.6,1.22,464.0
9,98.5,1.33,2532.0
10,67.2,1.17,383.0
11,97.1,2.4,6102.0
12,3.2,1.2,
13,81.8,1.8,1270.0
14,98.5,4.15,9021.5
15,38.7,1.1,95.0
16,3.2,1.1,
17,75.8,1.42,766.0
18,57.8,1.17,384.0
19,69.7,1.45,577.0
20,3.2,0.98,
21,3.2,0.99,
22,79.7,1.01,692.0
23,98.5,4.11,7802.5
24,98.5,1.49,666.0
25,70.8,1.54,752.0
26,69.2,0.91,171.0
27,76.2,1.49,940.0
28,98.5,1.39,2459.0
29,78.1,1.46,844.0
30,44.6,0.96,145.0
31,81.2,1.4,769.0
32,3.2,0.8,
33,64.1,1.3,595.0
34,81.5,1.2,598.0
35,85.9,1.37,830.0
36,85.9,1.41,1166.0
37,3.2,1.02,
38,95.4,1.3,1213.0
39,65.1,0.93,91.5
40,3.3,0.88,
41,6.5,0.86,14.0
42,67.2,1.17,390.0
43,87.9,1.3,937.0
44,97.0,1.26,511.0
45,60.3,1.31,238.0
46,80.0,1.64,1361.0
47,93.9,1.95,2285.0
48,83.1,1.56,1133.0
49,73.0,1.64,804.0
50,89.4,1.43,1133.0
51,98.5,1.95,4420.0
52,62.5,1.08,372.0
53,73.8,1.31,477.0
54,71.9,1.24,524.0
55,69.2,1.06,387.0
56,67.7,1.44,626.0
57,95.3,1.12,512.0
58,65.1,1.36,423.0
59,97.0,1.31,2486.0
60,71.4,1.49,657.0
61,15.9,1.11,28.0
62,81.2,1.13,339.0
63,72.3,1.35,466.0
64,95.5,2.16,2482.0
65,98.5,1.7,2085.0
66,60.3,1.17,371.0
67,97.0,6.44,13967.0
68,77.3,1.67,1041.0
69,19.7,0.99,45.0
70,98.5,1.31,1066.0
71,76.6,1.38,590.0
72,57.1,1.42,918.0
73,79.4,1.33,573.0
74,98.5,1.9,4075.0
75,93.8,2.15,2181.0
76,75.4,1.58,910.0
77,3.2,0.98,
78,98.5,3.45,5467.0
79,83.1,1.53,1022.9999999999999
80,3.2,1.01,
81,41.3,1.03,236.0
82,3.2,0.95,
83,38.1,0.94,79.0
84,50.0,0.93,94.0
85,77.3,1.24,473.0
86,76.6,1.13,241.0
87,95.5,1.3,1376.0
88,98.5,1.12,1979.0
89,75.0,1.11,614.0
90,71.0,0.85,129.0
91,24.2,0.86,51.0
92,3.2,0.86,
93,54.8,1.02,310.0
94,1.6,1.03,
95,3.2,1.03,
96,69.8,1.2,342.0
97,98.5,1.76,2066.0
98,1.6,1.09,
99,97.0,1.11,477.0
