query_id,time(ms)
1,32.0
2,22.0
3,15.0
4,142.0
5,36.0
6,29.0
7,36.0
8,25.0
9,14.0
10,23.0
11,134.0
12,18.0
13,32.0
14,75.0
15,25.0
16,21.0
17,27.0
18,52.0
19,26.0
20,18.0
21,13.0
22,68.0
23,53.0
24,16.0
25,23.0
26,29.0
27,40.0
28,23.0
29,28.0
30,37.0
31,37.0
32,13.0
33,20.0
34,24.0
35,38.0
36,87.0
37,12.0
38,35.0
39,48.0
40,20.0
41,12.0
42,14.0
43,19.0
44,25.0
45,20.0
46,43.0
47,67.0
48,27.0
49,26.0
50,20.0
51,178.0
52,17.0
53,21.0
54,22.0
55,16.0
56,24.0
57,51.0
58,22.0
59,31.0
60,23.0
61,23.0
62,15.0
63,19.0
64,60.0
65,26.0
66,31.0
67,144.0
68,33.0
69,28.0
70,27.0
71,25.0
72,90.0
73,20.0
74,85.0
75,43.0
76,26.0
77,24.0
78,57.0
79,28.0
80,43.0
81,43.0
82,15.0
83,15.0
84,20.0
85,36.0
86,20.0
87,36.0
88,27.0
89,26.0
90,9.0
91,17.0
92,11.0
93,21.0
94,17.0
95,85.0
96,10.0
97,31.0
98,29.0
99,25.0
