query_id,time(ms)
1,32.0
2,20.0
3,14.0
4,148.0
5,31.0
6,31.0
7,36.0
8,25.0
9,14.0
10,26.0
11,128.0
12,19.0
13,30.0
14,79.0
15,25.0
16,22.0
17,27.0
18,53.0
19,26.0
20,20.0
21,14.0
22,70.0
23,53.0
24,16.0
25,24.0
26,29.0
27,39.0
28,25.0
29,28.0
30,38.0
31,37.0
32,14.0
33,20.0
34,25.0
35,39.0
36,82.0
37,11.0
38,38.0
39,48.0
40,21.0
41,11.0
42,14.0
43,19.0
44,27.0
45,24.0
46,45.0
47,66.0
48,30.0
49,25.0
50,20.0
51,175.0
52,16.0
53,22.0
54,19.0
55,17.0
56,24.0
57,50.0
58,24.0
59,32.0
60,25.0
61,22.0
62,14.0
63,21.0
64,59.0
65,27.0
66,30.0
67,149.0
68,32.0
69,29.0
70,28.0
71,24.0
72,92.0
73,19.0
74,87.0
75,46.0
76,26.0
77,24.0
78,57.0
79,28.0
80,44.0
81,44.0
82,15.0
83,13.0
84,20.0
85,35.0
86,19.0
87,36.0
88,28.0
89,25.0
90,8.0
91,18.0
92,11.0
93,22.0
94,16.0
95,85.0
96,11.0
97,31.0
98,27.0
99,26.0
