query_id,cpu_used(%),ram_used(gb),time(ms)
1,44.4,0.75,107.0
2,72.8,0.76,381.0
3,57.1,0.84,111.0
4,53.79,1.1,2460.0
5,36.65,0.92,283.0
6,48.4,0.99,132.0
7,50.8,0.98,362.0
8,61.9,0.93,157.0
9,44.65,0.89,593.0
10,64.5,0.93,129.0
11,58.19,1.04,1656.0
12,1.6,0.97,
13,51.75,1.06,342.0
14,87.36,1.45,2261.5
15,21.9,0.91,69.0
16,3.2,0.9,
17,65.6,0.99,209.0
18,58.7,1.05,188.0
19,64.1,1.02,160.0
20,1.6,0.96,
21,3.3,0.96,
22,75.36,3.2,4887.0
23,89.09,1.58,2262.5
24,48.1,0.95,164.0
25,32.3,1.01,72.0
26,51.6,1.08,119.0
27,49.2,1.03,364.0
28,54.45,0.97,633.0
29,31.75,1.06,230.0
30,31.1,1.08,85.0
31,64.2,1.08,226.0
32,3.3,0.95,
33,61.5,1.04,171.0
34,74.6,1.07,160.0
35,46.65,1.0,297.0
36,41.6,0.96,635.0
37,3.2,0.78,
38,57.4,0.84,343.0
39,72.25,0.94,199.5
40,3.2,0.95,
41,9.7,0.96,21.0
42,43.5,0.9,94.0
43,81.2,0.92,243.0
44,79.4,0.84,129.0
45,24.2,0.86,84.0
46,46.8,0.86,352.0
47,81.67,0.96,725.0
48,49.75,0.8,320.0
49,60.0,0.86,207.0
50,44.15,0.89,293.0
51,86.39,1.2,1910.0
52,44.4,0.89,96.0
53,61.9,0.96,133.0
54,61.9,0.94,145.0
55,46.0,0.89,99.0
56,59.7,1.0,182.0
57,37.9,0.86,256.0
58,54.0,0.96,124.0
59,73.8,1.0,662.0
60,62.9,1.08,200.0
61,12.7,1.09,25.0
62,53.2,1.09,94.0
63,65.1,1.09,141.0
64,61.53,1.08,660.0
65,55.77,1.09,546.0
66,52.5,0.99,116.0
67,81.46,2.02,4903.0
68,33.9,1.1,272.0
69,67.7,1.04,139.0
70,38.65,1.08,282.0
71,65.1,1.08,150.0
72,51.55,1.03,331.0
73,71.4,1.07,152.0
74,48.86,1.06,1064.0
75,47.47,0.87,544.0
76,32.8,0.9,238.0
77,3.2,0.95,
78,78.88,1.18,1285.0
79,35.7,0.96,240.0
80,3.2,0.97,
81,36.5,1.0,134.0
82,3.2,0.99,
83,16.1,1.01,35.0
84,21.0,0.97,46.0
85,59.7,1.0,135.0
86,41.9,0.95,78.0
87,67.25,0.96,381.0
88,67.2,1.0,521.0
89,67.2,1.08,164.0
90,21.0,0.98,37.0
91,19.4,0.99,39.0
92,3.3,0.99,
93,82.35,1.05,536.0
94,30.6,0.89,67.0
95,1.6,0.88,
96,44.4,0.91,86.0
97,85.3,0.98,450.0
98,1.6,1.0,
99,77.8,1.01,125.0
