query_id, real_time(s), user_time(s), sys_time(s)
1, 0.248, 0.861718, 0.093883
2, 0.039, 0.068812, 0.024245
3, 0.160, 0.454524, 0.127471
4, 0.134, 0.412905, 0.080360
5, 0.164, 0.480067, 0.118666
6, 0.073, 0.205479, 0.082888
7, 0.175, 0.529135, 0.123069
8, 0.154, 0.410685, 0.152953
9, 0.450, 1.398347, 0.283348
10, 0.287, 0.827410, 0.159767
11, 0.035, 0.111845, 0.005756
12, 0.124, 0.377947, 0.106213
13, 0.380, 1.308557, 0.104434
14, 0.117, 0.268177, 0.129869
14, 0.005, 0.000047, 0.000989
15, 0.135, 0.431437, 0.096136
15, 0.004, 0.000398, 0.000091
16, 0.083, 0.228077, 0.054481
17, 0.134, 0.397176, 0.111531
18, 0.358, 1.221840, 0.131889
19, 0.218, 0.603600, 0.174450
20, 0.142, 0.408913, 0.122983
21, 0.420, 1.376691, 0.139733
22, 0.064, 0.162120, 0.016992
