query_id, cpu_used(%), ram_used(gb)
01, 11.3, 0.80
02, 50.8, 0.80
03, 14.3, 0.81
04, 61.9, 0.81
04, 31.2, 0.82
04, 30.2, 0.83
05, 33.9, 0.73
06, 14.5, 0.72
07, 41.9, 0.68
08, 21.0, 0.68
09, 73.8, 0.67
10, 24.2, 0.65
11, 61.9, 0.72
11, 36.5, 0.73
12, 11.3, 0.73
13, 45.2, 0.75
14, 74.6, 0.78
14, 90.8, 0.82
14, 90.8, 0.85
14, 1.6, 0.67
15, 9.4, 0.66
16, 19.0, 0.68
17, 25.8, 0.71
18, 31.1, 0.72
19, 16.1, 0.72
20, 9.5, 0.73
21, 8.1, 0.73
22, 83.1, 0.74
22, 61.9, 0.74
23, 73.1, 0.80
23, 93.8, 0.85
23, 86.2, 0.72
24, 8.1, 0.67
25, 14.3, 0.67
26, 19.4, 0.64
27, 40.3, 0.62
28, 80.6, 0.65
29, 29.5, 0.68
30, 16.4, 0.68
31, 31.1, 0.69
32, 11.5, 0.70
33, 17.7, 0.73
34, 22.6, 0.74
35, 53.1, 0.75
36, 35.5, 0.80
37, 6.5, 0.80
38, 42.9, 0.80
39, 54.7, 0.81
40, 9.4, 0.81
41, 6.3, 0.80
42, 14.3, 0.79
43, 31.1, 0.79
44, 46.0, 0.76
45, 11.3, 0.74
46, 35.5, 0.70
47, 74.6, 0.73
48, 41.9, 0.70
49, 24.2, 0.73
50, 29.0, 0.75
51, 78.1, 0.80
51, 78.1, 0.73
52, 14.5, 0.74
53, 19.4, 0.75
54, 8.1, 0.75
55, 12.9, 0.75
56, 24.6, 0.74
57, 42.2, 0.76
58, 17.7, 0.76
59, 82.3, 0.76
60, 23.8, 0.73
61, 11.7, 0.71
62, 14.8, 0.70
63, 17.7, 0.67
64, 66.2, 0.72
65, 54.0, 0.70
66, 16.4, 0.69
67, 74.6, 0.75
67, 90.9, 0.88
67, 96.8, 0.96
67, 0.0, 0.82
68, 31.7, 0.87
69, 28.1, 0.88
70, 34.9, 0.89
71, 17.7, 0.88
72, 48.4, 0.91
73, 20.6, 0.92
74, 59.7, 0.94
74, 6.5, 0.91
75, 54.7, 0.87
76, 25.8, 0.86
77, 21.0, 0.84
78, 72.3, 0.89
79, 33.9, 0.76
80, 46.8, 0.79
81, 14.3, 0.78
82, 11.3, 0.77
83, 9.5, 0.77
84, 9.7, 0.77
85, 21.3, 0.76
86, 12.7, 0.76
87, 48.4, 0.79
88, 67.7, 0.79
89, 22.6, 0.76
90, 8.1, 0.76
91, 20.6, 0.76
92, 8.1, 0.75
93, 8.1, 0.76
94, 11.1, 0.76
95, 64.1, 0.77
95, 1.6, 0.72
96, 9.7, 0.70
97, 46.0, 0.71
98, 17.7, 0.71
99, 22.6, 0.69
