query_id, cpu_used(%), ram_used(gb)
1, 82.8, 0.77
1, 90.9, 0.86
1, 89.4, 0.97
1, 90.9, 1.07
1, 90.8, 1.21
1, 89.4, 1.33
1, 89.2, 1.47
1, 90.9, 1.61
1, 83.3, 1.73
2, 76.2, 1.03
2, 17.2, 1.05
3, 78.5, 1.10
3, 87.5, 1.16
3, 71.9, 1.22
3, 88.1, 1.32
3, 84.8, 1.48
3, 83.3, 1.64
3, 84.6, 1.85
3, 53.2, 1.51
4, 74.6, 1.04
4, 78.1, 1.18
4, 87.7, 1.30
4, 89.4, 1.41
4, 89.4, 1.52
4, 89.4, 1.63
4, 44.4, 1.03
5, 68.8, 1.09
5, 83.3, 1.19
5, 89.2, 1.31
5, 86.4, 1.45
5, 84.8, 1.60
5, 85.1, 1.74
5, 87.7, 1.89
5, 85.9, 2.06
5, 0.0, 0.87
6, 60.9, 1.04
6, 70.1, 1.36
6, 67.7, 1.66
6, 0.0, 0.96
7, 63.1, 1.11
7, 72.6, 1.38
7, 72.6, 1.66
7, 69.7, 1.95
7, 70.8, 2.26
7, 97.0, 2.29
7, 97.0, 2.33
7, 97.0, 2.37
7, 96.9, 2.41
7, 0.0, 0.92
8, 73.4, 1.03
8, 81.2, 1.21
8, 82.1, 1.43
8, 82.8, 1.62
8, 80.0, 1.82
8, 79.7, 2.03
8, 86.2, 2.25
8, 49.2, 1.75
9, 59.4, 1.11
9, 73.1, 1.46
9, 71.2, 1.79
9, 79.1, 2.06
9, 46.9, 2.63
9, 92.3, 2.86
9, 98.5, 2.86
9, 98.5, 2.86
9, 89.2, 2.97
9, 90.9, 3.12
9, 89.2, 3.24
9, 89.6, 3.39
9, 90.9, 3.53
9, 89.1, 3.68
9, 90.8, 3.81
9, 90.9, 3.96
9, 89.6, 4.10
9, 87.7, 4.25
9, 89.2, 4.37
9, 89.4, 4.52
9, 3.2, 2.40
10, 69.8, 1.33
10, 82.8, 1.45
10, 84.4, 1.57
10, 86.2, 1.65
10, 83.1, 1.76
10, 86.2, 1.88
10, 87.5, 2.09
10, 84.8, 2.28
10, 82.4, 2.50
10, 87.5, 2.69
10, 28.6, 1.77
11, 74.6, 1.06
11, 1.6, 1.07
12, 71.0, 1.16
12, 79.1, 1.31
12, 75.4, 1.50
12, 79.7, 1.68
12, 93.9, 1.74
12, 14.3, 0.98
13, 62.5, 1.08
13, 93.8, 1.13
13, 92.4, 1.19
13, 95.5, 1.28
13, 95.5, 1.34
13, 92.4, 1.40
13, 94.0, 1.47
13, 93.9, 1.54
13, 93.8, 1.61
13, 92.4, 1.68
13, 94.0, 1.76
13, 93.8, 1.82
13, 92.4, 1.89
13, 92.5, 1.95
13, 85.1, 2.03
13, 81.5, 1.85
14, 53.2, 0.94
14, 73.8, 1.13
14, 73.0, 1.49
14, 72.3, 1.86
14, 38.1, 2.01
14, 1.6, 0.95
15, 65.1, 1.11
15, 69.4, 1.41
15, 72.3, 1.72
15, 72.7, 1.99
15, 98.5, 1.99
15, 98.5, 1.99
15, 38.7, 2.01
15, 1.6, 1.05
16, 73.0, 1.12
16, 90.9, 1.21
16, 93.8, 1.25
17, 77.8, 1.24
17, 81.5, 1.35
17, 81.8, 1.46
17, 82.1, 1.58
17, 83.3, 1.71
17, us., 1.76
17, us., 1.76
17, 98.5, 1.76
17, 31.7, 0.84
18, 67.7, 0.97
18, 87.9, 1.13
18, 83.3, 1.28
18, 86.4, 1.43
18, 84.8, 1.59
18, 86.4, 1.80
18, 86.4, 2.01
18, 83.1, 2.22
18, us., 2.22
18, 97.0, 2.22
18, 84.8, 2.28
18, 85.9, 2.27
18, 98.5, 2.27
18, 3.2, 1.17
19, 54.0, 1.26
19, 82.1, 1.36
19, 83.3, 1.49
19, 81.8, 1.65
19, 84.1, 1.83
19, 83.3, 2.09
19, 80.9, 2.34
19, 19.0, 0.98
20, 78.1, 1.00
20, 72.3, 1.21
20, 74.2, 1.47
20, 73.4, 1.73
20, 76.2, 2.01
20, 10.9, 0.92
21, 67.7, 1.04
21, 81.0, 1.25
21, 78.5, 1.47
21, 78.8, 1.68
21, 60.3, 1.92
21, 94.0, 2.00
21, 95.4, 2.09
21, 95.2, 2.18
21, 97.0, 2.21
21, 98.5, 2.21
21, 98.5, 2.21
21, us., 2.21
21, 98.5, 2.21
21, 87.5, 2.24
21, us., 2.24
21, us., 2.24
21, 98.5, 2.24
21, 98.5, 2.24
21, 3.3, 0.82
22, 85.9, 0.87
22, 93.7, 0.92
22, 93.9, 0.96
22, 25.4, 0.98
