query_id, cpu_used(%), ram_used(gb)
01, 15.9, 0.75
02, 51.7, 0.74
03, 15.9, 0.71
04, 62.5, 0.74
04, 32.3, 0.77
04, 29.5, 0.79
05, 30.6, 0.75
06, 16.1, 0.76
07, 39.1, 0.78
08, 17.7, 0.77
09, 71.4, 0.76
10, 24.2, 0.75
11, 63.5, 0.79
11, 32.8, 0.76
12, 9.7, 0.74
13, 46.0, 0.71
14, 73.4, 0.74
14, 92.4, 0.79
14, 89.4, 0.83
15, 6.5, 0.65
16, 17.5, 0.63
17, 25.8, 0.66
18, 24.2, 0.67
19, 19.7, 0.70
20, 9.7, 0.67
21, 9.7, 0.67
22, 82.8, 0.70
22, 57.8, 0.67
23, 71.2, 0.76
23, 93.8, 0.81
23, 92.2, 0.83
24, 6.6, 0.78
25, 14.5, 0.79
26, 20.3, 0.81
27, 41.3, 0.78
28, 79.4, 0.79
29, 31.7, 0.75
30, 11.3, 0.76
31, 28.6, 0.76
32, 7.9, 0.77
33, 19.4, 0.79
34, 19.4, 0.80
35, 52.4, 0.78
36, 38.7, 0.75
37, 6.5, 0.74
38, 43.5, 0.73
39, 54.8, 0.75
40, 8.1, 0.75
41, 6.3, 0.75
42, 13.3, 0.78
43, 33.9, 0.78
44, 43.5, 0.80
45, 10.9, 0.80
46, 32.8, 0.80
47, 73.0, 0.82
48, 39.3, 0.72
49, 25.8, 0.73
50, 33.9, 0.72
51, 73.8, 0.76
51, 75.4, 0.78
52, 12.9, 0.80
53, 19.0, 0.79
54, 9.7, 0.79
55, 12.9, 0.79
56, 24.6, 0.80
57, 41.3, 0.80
58, 16.4, 0.78
59, 83.9, 0.78
60, 22.2, 0.71
61, 11.5, 0.69
62, 15.9, 0.68
63, 17.7, 0.66
64, 67.7, 0.70
65, 54.8, 0.65
66, 18.0, 0.66
67, 74.6, 0.72
67, 90.9, 0.87
67, 97.0, 0.96
68, 32.8, 0.82
69, 27.0, 0.82
70, 35.5, 0.80
71, 19.4, 0.82
72, 46.8, 0.84
73, 21.0, 0.84
74, 55.6, 0.86
74, 4.8, 0.79
75, 53.2, 0.84
76, 29.0, 0.86
77, 22.6, 0.87
78, 70.8, 0.91
79, 33.9, 0.92
80, 46.0, 0.85
81, 12.9, 0.86
82, 12.7, 0.86
83, 8.2, 0.86
84, 11.3, 0.86
85, 25.8, 0.86
86, 12.9, 0.86
87, 50.8, 0.86
88, 66.1, 0.86
89, 23.8, 0.85
90, 8.1, 0.84
91, 19.0, 0.83
92, 8.1, 0.82
93, 8.1, 0.81
94, 9.7, 0.80
95, 69.8, 0.81
95, 4.8, 0.78
96, 12.7, 0.77
97, 45.2, 0.80
98, 16.1, 0.80
99, 21.3, 0.80
