query_id,real_time(s),user_time(s),sys_time(s)
1,0.616,2.177338,0.209048
2,0.076,0.156928,0.043833
3,0.418,1.2992,0.272688
4,0.371,1.162321,0.21111
5,0.451,1.382239,0.289078
6,0.184,0.488739,0.219827
7,0.461,1.386373,0.352064
8,0.383,1.03998,0.384603
9,1.138,3.607414,0.689199
10,0.698,2.135698,0.415937
11,0.074,0.23399,0.040849
12,0.316,0.94725,0.249852
13,1.069,3.694241,0.307198
14,0.29,0.687384,0.306018
15,0.376,1.196278,0.256059
16,0.196,0.569548,0.106044
17,0.344,1.037076,0.2714
18,0.928,3.144422,0.344725
19,0.539,1.542053,0.400264
20,0.325,0.959569,0.28193
21,1.105,3.724283,0.307197
22,0.149,0.444482,0.054486
