query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,274.67,41.42,20.5,8.0,12.12,25.64
query 2,818.33,43.78,4.3,7.94,12.12,25.51
query 3,302.67,50.43,17.15,7.91,12.13,25.57
query 4,1819.0,78.32,5.15,8.17,12.13,25.65
query 5,187.0,54.68,6.0,7.96,12.13,25.45
query 6,14.0,56.33,8.0,7.97,12.13,25.51
query 7,311.33,48.86,1.11,7.98,12.13,25.54
query 8,197.67,44.33,0.33,7.98,12.13,25.43
query 9,257.67,44.77,0.92,7.99,12.13,25.59
query 10,282.0,44.98,1.25,8.0,12.13,25.59
query 12,95.33,46.65,0.0,7.99,12.13,25.49
query 13,85.67,46.6,1.89,7.98,12.13,25.48
query 14,90.67,47.19,0.33,7.98,12.13,25.62
query 16,289.67,53.89,0.33,7.96,12.13,25.44
query 17,3652.33,89.63,2.74,8.03,12.13,25.99
query 18,3786.33,82.64,5.06,8.33,12.13,25.84
query 19,97.33,58.79,10.0,8.44,12.13,25.6
query 20,1480.67,67.86,4.85,8.07,12.13,25.48
query 22,449.67,30.99,0.0,8.03,12.13,25.48
