query_id, real_time(s), user_time(s), sys_time(s)
1, 0.669, 15.531074, 3.470538
2, 0.173, 2.030454, 0.700245
3, 0.826, 14.692600, 4.607545
4, 0.684, 12.589958, 3.336612
5, 0.800, 16.045958, 5.202695
6, 0.321, 3.905709, 4.434966
7, 0.901, 13.486748, 7.264228
8, 0.730, 12.502975, 6.834496
9, 3.478, 41.510079, 9.802655
10, 1.251, 25.051690, 6.859012
11, 0.126, 1.892225, 0.706253
12, 0.557, 9.240990, 4.653076
13, 1.448, 34.648349, 4.713250
14, 0.745, 7.693093, 6.165150
14, 0.002, 0.000420, 0.000336
15, 0.604, 10.659365, 5.819941
15, 0.005, 0.000278, 0.000152
16, 0.317, 6.327633, 1.443305
17, 0.682, 14.647988, 4.757063
18, 1.354, 30.130523, 6.069595
19, 1.016, 13.101694, 7.336042
20, 0.579, 9.269171, 5.511679
21, 1.947, 41.263034, 6.169939
22, 0.346, 7.852818, 0.766884
