query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,361.0,58.04,41.0,3.65,4.12,26.27
query 2,745.33,65.74,54.33,4.84,5.45,33.59
query 3,487.0,49.11,21.33,4.98,5.45,26.62
query 4,2803.0,94.16,22.67,5.56,5.45,29.01
query 5,182.0,46.23,18.0,5.2,5.45,25.57
query 6,87.67,45.12,10.0,5.13,5.45,29.75
query 7,116.33,45.95,4.67,5.14,5.45,26.18
query 8,215.33,47.94,8.33,5.16,5.45,32.61
query 9,255.33,46.22,19.0,5.22,5.45,33.57
query 10,740.33,44.54,46.33,5.26,5.45,31.61
query 12,134.0,58.97,0.0,5.22,5.45,25.45
query 13,507.67,59.93,4.0,5.25,5.45,26.07
query 16,6462.0,51.54,20.0,6.34,6.79,28.5
query 17,1229.33,88.39,38.67,5.28,6.79,42.84
query 18,5370.0,100.0,33.33,6.33,6.79,34.06
query 19,219.33,56.71,15.67,5.37,6.79,25.62
query 20,1643.33,79.41,34.67,5.61,6.79,45.84
query 22,561.0,50.76,3.33,5.57,6.79,25.64
