query_id, cpu_used(%), ram_used(gb)
1, 81.5, 0.79
1, 90.9, 0.86
1, 90.8, 0.95
1, 90.8, 1.06
1, 62.5, 0.69
2, 67.7, 0.75
3, 76.6, 0.81
3, 84.6, 0.93
3, 84.6, 1.10
3, 69.2, 1.02
4, 74.2, 0.84
4, 87.5, 0.95
4, 89.2, 1.08
4, 1.6, 0.71
5, 69.4, 0.82
5, 87.7, 0.95
5, 85.1, 1.10
5, 77.8, 1.30
6, 65.1, 1.07
6, 46.0, 0.90
7, 67.2, 1.06
7, 71.9, 1.34
7, 78.5, 1.51
7, 97.0, 1.54
7, 3.2, 1.03
8, 73.0, 1.11
8, 81.2, 1.25
8, 81.5, 1.45
8, 79.4, 1.63
9, 64.1, 1.17
9, 71.2, 1.44
9, 46.2, 1.86
9, 98.5, 1.88
9, 87.7, 1.96
9, 89.4, 2.08
9, 90.8, 2.19
9, 86.4, 2.31
9, 88.2, 2.43
9, 86.2, 2.58
9, 0.0, 1.16
10, 64.1, 1.20
10, 73.8, 1.32
10, 86.2, 1.42
10, 85.9, 1.53
10, 89.4, 1.65
10, 3.2, 0.92
11, 81.0, 0.96
12, 72.6, 1.02
12, 78.5, 1.23
12, 73.4, 1.12
13, 75.0, 1.14
13, 93.9, 1.19
13, 86.4, 1.26
13, 95.5, 1.29
13, 93.9, 1.33
13, 90.8, 1.38
13, 94.0, 1.43
13, 93.8, 1.44
14, 61.3, 0.99
14, 72.7, 1.27
14, 42.6, 1.43
15, 65.1, 1.20
15, 71.6, 1.42
15, 98.5, 1.46
15, 17.7, 0.90
16, 75.4, 1.00
16, 64.5, 1.05
17, 76.2, 1.12
17, 80.3, 1.24
17, 81.8, 1.35
17, 98.5, 1.35
17, 60.9, 1.04
18, 75.0, 1.09
18, 87.5, 1.17
18, 83.6, 1.26
18, 87.9, 1.41
18, 96.9, 1.46
18, 81.8, 1.49
18, 76.9, 1.15
19, 64.1, 0.91
19, 79.7, 1.09
19, 81.2, 1.28
19, 80.0, 1.51
19, 1.6, 0.81
20, 76.2, 0.87
20, 76.1, 1.14
20, 64.1, 1.21
21, 69.8, 0.91
21, 75.4, 1.14
21, 70.8, 1.35
21, 92.4, 1.43
21, us., 1.45
21, us., 1.45
21, 81.8, 1.47
21, us., 1.47
21, 34.9, 0.87
22, 82.5, 0.92
22, 81.0, 0.96
