query_id, real_time(s), user_time(s), sys_time(s)
01, 0.132, 0.360252, 0.070950
02, 0.745, 2.744105, 0.133419
03, 0.226, 0.672320, 0.197899
04, 4.144, 13.519251, 1.124711
05, 0.566, 1.653211, 0.487409
06, 0.249, 0.552778, 0.188005
07, 0.480, 1.313401, 0.445408
08, 0.272, 0.778251, 0.189338
09, 1.270, 4.687270, 0.233753
10, 0.231, 0.695267, 0.142881
11, 2.693, 8.939966, 0.719474
13, 0.664, 1.993813, 0.520273
14, 5.660, 19.779552, 1.633962
14, 3.903, 13.769825, 0.439846
15, 0.109, 0.213597, 0.062781
17, 0.411, 1.202220, 0.335338
18, 0.324, 0.745742, 0.205992
19, 0.308, 0.798060, 0.318704
22, 16.872, 50.976159, 12.736320
23, 4.851, 16.686318, 1.902047
23, 4.844, 17.296934, 1.398117
24, 0.475, 1.493897, 0.301531
24, 0.357, 1.339821, 0.002769
25, 0.120, 0.310326, 0.084338
26, 0.220, 0.551913, 0.164343
27, 0.513, 1.387486, 0.454132
28, 1.243, 4.548451, 0.264660
29, 0.484, 1.387560, 0.351886
30, 0.123, 0.319817, 0.064488
31, 0.431, 1.296355, 0.334123
33, 0.328, 0.841641, 0.390338
34, 0.305, 0.957431, 0.203782
35, 0.567, 1.727944, 0.274278
36, 1.339, 2.283444, 0.520550
38, 0.700, 2.367942, 0.253394
39, 0.509, 1.656767, 0.232862
39, 0.438, 1.619821, 0.030520
41, 0.029, 0.031058, 0.004977
42, 0.206, 0.577641, 0.205850
43, 0.413, 1.412085, 0.192112
44, 0.256, 0.942556, 0.048770
45, 0.146, 0.305197, 0.096742
46, 0.600, 1.740256, 0.359983
47, 1.196, 4.059097, 0.479527
48, 0.604, 1.887536, 0.373891
49, 0.405, 1.057410, 0.461378
50, 0.558, 1.889843, 0.260370
51, 3.939, 13.489516, 1.128900
52, 0.189, 0.513695, 0.202555
53, 0.287, 0.809736, 0.262919
54, 0.286, 0.793420, 0.270909
55, 0.195, 0.508680, 0.232424
56, 0.341, 0.848142, 0.400977
57, 0.550, 1.853071, 0.142754
58, 0.246, 0.626648, 0.291859
59, 1.314, 4.774791, 0.198488
60, 0.358, 0.948506, 0.356243
61, 0.481, 1.436517, 0.352600
62, 0.171, 0.587947, 0.057733
63, 0.275, 0.767347, 0.252508
64, 1.473, 4.588591, 0.743372
65, 1.232, 4.206393, 0.425684
66, 0.203, 0.577922, 0.166928
67, 10.965, 36.770525, 5.324179
68, 0.494, 1.406189, 0.456356
69, 0.049, 0.124227, 0.023799
70, 0.563, 1.952874, 0.195026
71, 0.305, 0.830256, 0.284748
72, 0.699, 1.635732, 0.292752
73, 0.295, 0.906058, 0.211891
74, 1.932, 5.980434, 0.630904
75, 1.116, 3.419122, 0.600941
76, 0.515, 1.294911, 0.473227
78, 2.721, 9.167633, 1.136777
79, 0.544, 1.711974, 0.355560
81, 0.202, 0.461084, 0.087529
83, 0.062, 0.135009, 0.056449
84, 0.073, 0.218535, 0.033424
85, 0.263, 0.723526, 0.198188
86, 0.142, 0.444714, 0.067818
87, 0.763, 2.598489, 0.297928
88, 1.008, 3.699395, 0.151548
89, 0.329, 0.989595, 0.232371
90, 0.064, 0.200957, 0.045506
91, 0.046, 0.119824, 0.023149
93, 0.152, 0.381444, 0.109656
96, 0.174, 0.516456, 0.146629
97, 0.974, 3.347827, 0.397567
99, 0.272, 0.908771, 0.054825
