query_id,cpu_used(%),ram_used(gb),time(ms)
1,56.83,1.05,364.67
2,77.84,1.07,1465.0
3,64.07,1.02,399.67
4,62.5,2.27,9443.0
5,67.17,1.31,1199.67
6,52.77,1.18,446.33
7,58.68,1.31,902.67
8,66.48,1.16,464.33
9,87.43,1.3,2534.0
10,63.8,1.16,385.67
11,64.02,1.99,6132.0
12,3.2,1.1,
13,74.54,1.44,1271.0
14,85.17,3.03,9031.5
15,36.7,1.13,93.0
16,4.27,1.13,
17,58.4,1.21,765.33
18,55.25,1.0,376.33
19,47.08,1.16,566.33
20,3.7,1.02,
21,3.73,1.03,
22,76.66,1.04,693.0
23,88.59,3.13,7823.67
24,81.91,1.46,668.33
25,56.33,1.16,746.67
26,70.1,0.96,171.67
27,62.74,1.23,938.33
28,84.09,1.29,2456.0
29,54.94,1.19,853.0
30,44.8,0.97,146.33
31,74.29,1.21,772.0
32,3.2,0.83,
33,48.43,1.08,594.33
34,56.42,1.05,598.0
35,55.12,1.16,827.67
36,67.25,1.24,1166.33
37,3.2,1.01,
38,77.37,1.13,1220.0
39,61.07,1.02,88.17
40,3.77,1.01,
41,6.43,0.99,13.33
42,63.35,1.1,389.67
43,74.79,1.14,941.0
44,86.77,1.13,510.33
45,30.85,1.14,243.33
46,53.62,1.32,1360.0
47,75.85,1.48,2288.33
48,64.27,1.29,1135.0
49,50.59,1.3,801.67
50,67.51,1.21,1133.0
51,83.71,1.61,4448.33
52,59.37,0.99,379.33
53,68.42,1.23,477.67
54,45.84,1.18,523.0
55,63.0,1.14,390.0
56,53.33,1.27,620.67
57,87.82,1.1,510.67
58,61.58,1.3,420.33
59,91.14,1.19,2485.33
60,62.31,1.3,664.0
61,14.9,1.07,27.67
62,60.5,1.08,340.67
63,67.98,1.25,469.33
64,76.31,1.45,2464.0
65,77.56,1.46,2080.33
66,60.98,1.09,372.33
67,84.94,3.91,14005.0
68,59.37,1.29,1040.0
69,19.9,0.95,43.67
70,82.61,1.21,1068.33
71,51.21,1.19,585.0
72,46.67,1.28,927.33
73,53.09,1.31,570.67
74,61.81,1.73,4051.67
75,72.37,1.58,2181.0
76,59.32,1.22,908.33
77,3.2,0.98,
78,78.92,2.37,5407.33
79,77.8,1.42,1023.0
80,3.2,1.06,
81,41.75,1.07,225.0
82,3.2,1.06,
83,39.57,1.07,78.67
84,52.9,1.08,97.33
85,69.98,1.23,472.0
86,77.63,1.1,238.67
87,84.01,1.2,1387.33
88,79.58,1.06,1983.67
89,58.87,1.0,618.67
90,70.6,0.99,129.33
91,25.27,1.0,51.33
92,2.67,1.0,
93,42.1,1.11,308.0
94,2.67,1.11,
95,2.67,1.11,
96,55.8,1.16,343.33
97,77.59,1.43,2077.0
98,2.67,1.05,
99,90.15,1.06,476.0
