query_id,cpu_used(%),ram_used(gb),time(ms)
1,71.9,1.21,372.0
2,95.5,1.24,1467.0
3,67.2,1.15,405.0
4,98.5,2.87,9635.0
5,98.5,1.75,1212.0
6,65.2,1.29,451.0
7,74.2,1.65,906.0
8,74.6,1.3,473.0
9,98.5,1.4,2536.0
10,69.8,1.25,389.0
11,98.5,2.4,6230.0
12,3.2,1.2,
13,81.8,1.81,1278.0
14,98.5,4.15,9087.0
15,38.7,1.26,95.0
16,4.8,1.26,
17,77.3,1.46,766.0
18,58.1,1.17,384.0
19,71.2,1.45,577.0
20,4.7,1.09,
21,4.8,1.1,
22,98.5,1.12,696.0
23,98.5,4.14,7884.5
24,98.5,1.53,671.5
25,73.8,1.54,755.0
26,71.9,1.04,174.0
27,76.2,1.56,940.0
28,98.5,1.41,2459.0
29,78.5,1.46,865.0
30,46.9,1.06,149.0
31,81.2,1.49,777.0
32,3.2,0.9,
33,70.1,1.41,597.0
34,82.1,1.24,600.0
35,87.9,1.37,839.0
36,86.2,1.52,1168.0
37,3.2,1.09,
38,95.4,1.33,1229.0
39,65.1,1.24,91.5
40,4.8,1.24,
41,6.5,1.23,14.0
42,68.3,1.27,392.0
43,91.0,1.3,944.0
44,98.5,1.26,511.0
45,61.9,1.31,256.0
46,80.0,1.64,1365.0
47,96.9,1.97,2292.0
48,84.1,1.65,1139.0
49,73.0,1.7,804.0
50,89.4,1.46,1135.0
51,98.5,1.95,4463.0
52,67.2,1.08,389.0
53,73.8,1.37,478.0
54,73.0,1.45,526.0
55,69.2,1.32,395.0
56,67.7,1.51,626.0
57,95.5,1.17,514.0
58,67.7,1.49,423.0
59,97.0,1.31,2486.0
60,73.4,1.49,671.0
61,15.9,1.25,28.0
62,81.5,1.27,343.0
63,73.0,1.47,471.0
64,95.5,2.16,2482.0
65,98.5,1.78,2091.0
66,73.4,1.21,376.0
67,98.5,6.44,14131.0
68,77.6,1.69,1041.0
69,21.0,0.99,45.0
70,98.5,1.31,1073.0
71,78.5,1.38,590.0
72,60.0,1.45,939.0
73,81.0,1.46,573.0
74,98.5,2.04,4075.0
75,97.0,2.15,2191.0
76,75.8,1.61,910.0
77,3.2,1.0,
78,98.5,3.45,5467.0
79,83.1,1.67,1025.0
80,3.2,1.17,
81,53.0,1.2,236.0
82,3.2,1.2,
83,40.3,1.2,79.0
84,55.6,1.2,100.0
85,79.4,1.37,473.0
86,79.7,1.23,241.0
87,95.5,1.34,1396.0
88,98.5,1.12,1986.0
89,79.7,1.2,623.0
90,71.0,1.09,130.0
91,27.4,1.1,52.0
92,3.2,1.1,
93,57.4,1.23,310.0
94,3.2,1.21,
95,3.2,1.21,
96,69.8,1.25,347.0
97,98.5,1.8,2083.0
98,3.2,1.13,
99,97.0,1.14,477.0
