query_id,cpu_used(%),ram_used(gb),time(ms)
1,83.23,0.91,248.67
2,14.43,0.87,39.33
3,70.07,0.9,166.67
4,69.33,0.87,135.67
5,71.53,0.92,164.67
6,34.97,0.9,73.0
7,70.53,0.94,180.67
8,65.1,0.94,156.33
9,73.33,1.01,463.67
10,32.95,0.98,285.67
11,19.43,0.95,35.0
12,63.97,0.97,124.67
13,68.83,0.98,384.0
14,50.53,1.02,61.17
15,72.57,1.02,70.0
16,39.37,0.97,82.0
17,66.5,0.94,133.0
18,62.78,0.97,360.0
19,64.37,1.02,218.33
20,66.87,1.01,142.0
21,73.5,1.02,420.0
22,29.0,1.01,65.33
