query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,803,58.29,41.0,3.65,4.12,26.27
query 2,1255,67.17,63.0,5.31,8.12,49.36
query 3,1205,50.13,25.0,5.27,8.12,28.56
query 4,3575,98.0,29.0,5.82,8.12,34.18
query 5,458,46.84,20.0,5.72,8.12,25.63
query 6,240,46.21,30.0,5.36,8.12,38.14
query 7,265,46.88,12.0,5.34,8.12,26.8
query 8,485,54.39,13.0,5.35,8.12,43.67
query 9,490,50.75,31.0,5.35,8.12,38.67
query 10,1344,45.84,61.0,5.32,8.12,34.1
query 12,353,68.77,0.0,5.36,8.12,25.56
query 13,1176,80.15,11.0,5.34,8.12,27.03
query 16,6923,53.63,20.0,6.43,8.12,30.39
query 17,1733,92.52,57.0,5.34,8.12,44.26
query 18,6581,100.0,38.0,6.36,8.12,39.5
query 19,488,63.22,20.0,5.67,8.12,25.78
query 20,2994,82.41,43.0,5.76,8.12,54.68
query 22,853,54.64,10.0,5.73,8.12,25.82
