query, start at (ms), end at (ms), time (ms)
query 1, 2025-04-19 12:58:57.496, 2025-04-19 12:58:59.105, 1344
query 2, 2025-04-19 12:58:59.107, 2025-04-19 12:59:40.972, 40627
query 3, 2025-04-19 12:59:40.974, 2025-04-19 12:59:41.226, 14
query 4, 2025-04-19 12:59:41.228, 2025-04-19 12:59:41.472, 
query 5, 2025-04-19 12:59:41.474, 2025-04-19 12:59:41.724, 
query 6, 2025-04-19 12:59:41.726, 2025-04-19 12:59:42.095, 99
query 7, 2025-04-19 12:59:42.097, 2025-04-19 12:59:42.395, 57
query 8, 2025-04-19 12:59:42.397, 2025-04-19 12:59:42.647, 
query 9, 2025-04-19 12:59:42.649, 2025-04-19 12:59:43.017, 127
query 10, 2025-04-19 12:59:43.019, 2025-04-19 12:59:58.368, 
query 11, 2025-04-19 12:59:58.370, 2025-04-19 12:59:58.612, 
query 12, 2025-04-19 12:59:58.614, 2025-04-19 12:59:58.958, 103
query 13, 2025-04-19 12:59:58.960, 2025-04-19 12:59:59.298, 97
query 14, 2025-04-19 12:59:59.300, 2025-04-19 12:59:59.601, 
query 15, 2025-04-19 12:59:59.603, 2025-04-19 12:59:59.844, 
query 16, 2025-04-19 12:59:59.846, 2025-04-19 13:00:00.230, 
query 17, 2025-04-19 13:00:00.232, 2025-04-19 13:00:01.902, 1290
query 18, 2025-04-19 13:00:01.903, 2025-04-19 13:00:02.151, 
query 19, 2025-04-19 13:00:02.153, 2025-04-19 13:00:02.395, 
query 20, 2025-04-19 13:00:02.397, 2025-04-19 13:00:02.741, 103
query 21, 2025-04-19 13:00:02.743, 2025-04-19 13:00:03.066, 52
query 22, 2025-04-19 13:00:03.068, 2025-04-19 13:00:03.310, 
query 23, 2025-04-19 13:00:03.312, 2025-04-19 13:00:03.563, 
query 24, 2025-04-19 13:00:03.565, 2025-04-19 13:00:23.126, 9633
9683
query 25, 2025-04-19 13:00:23.128, 2025-04-19 13:00:24.742, 1235
query 26, 2025-04-19 13:00:24.744, 2025-04-19 13:00:25.033, 48
query 27, 2025-04-19 13:00:25.035, 2025-04-19 13:00:25.280, 
query 28, 2025-04-19 13:00:25.282, 2025-04-19 13:00:25.682, 
query 29, 2025-04-19 13:00:25.684, 2025-04-19 13:00:27.294, 1233
query 30, 2025-04-19 13:00:27.296, 2025-04-19 13:00:27.811, 257
query 31, 2025-04-19 13:00:27.813, 2025-04-19 13:00:28.052, 
query 32, 2025-04-19 13:00:28.054, 2025-04-19 13:00:37.800, 9368
query 33, 2025-04-19 13:00:37.802, 2025-04-19 13:00:38.180, 136
query 34, 2025-04-19 13:00:38.182, 2025-04-19 13:00:38.715, 236
query 35, 2025-04-19 13:00:38.717, 2025-04-19 13:00:54.004, 
query 36, 2025-04-19 13:00:54.006, 2025-04-19 13:00:54.254, 
query 37, 2025-04-19 13:00:54.256, 2025-04-19 13:01:23.150, 28655
query 38, 2025-04-19 13:01:23.152, 2025-04-19 13:01:23.396, 
query 39, 2025-04-19 13:01:23.398, 2025-04-19 13:01:23.652, 
query 40, 2025-04-19 13:01:23.654, 2025-04-19 13:01:23.964, 70
query 41, 2025-04-19 13:01:23.966, 2025-04-19 13:01:24.282, 73
query 42, 2025-04-19 13:01:24.284, 2025-04-19 13:01:24.539, 17
query 43, 2025-04-19 13:01:24.541, 2025-04-19 13:01:24.801, 20
query 44, 2025-04-19 13:01:24.803, 2025-04-19 13:01:25.076, 
query 45, 2025-04-19 13:01:25.078, 2025-04-19 13:01:25.319, 
query 46, 2025-04-19 13:01:25.321, 2025-04-19 13:01:26.403, 835
query 47, 2025-04-19 13:01:26.405, 2025-04-19 13:01:26.645, 
query 48, 2025-04-19 13:01:26.647, 2025-04-19 13:01:26.939, 52
query 49, 2025-04-19 13:01:26.941, 2025-04-19 13:01:27.203, 
query 50, 2025-04-19 13:01:27.205, 2025-04-19 13:01:27.536, 91
query 51, 2025-04-19 13:01:27.538, 2025-04-19 13:01:27.785, 
query 52, 2025-04-19 13:01:27.787, 2025-04-19 13:01:28.041, 14
query 53, 2025-04-19 13:01:28.043, 2025-04-19 13:01:28.568, 95
query 54, 2025-04-19 13:01:28.570, 2025-04-19 13:01:52.010, 22631
query 55, 2025-04-19 13:01:52.012, 2025-04-19 13:01:52.266, 14
query 56, 2025-04-19 13:01:52.268, 2025-04-19 13:01:52.608, 99
query 57, 2025-04-19 13:01:52.610, 2025-04-19 13:01:52.849, 
query 58, 2025-04-19 13:01:52.851, 2025-04-19 13:01:53.222, 129
query 59, 2025-04-19 13:01:53.223, 2025-04-19 13:01:54.085, 587
query 60, 2025-04-19 13:01:54.087, 2025-04-19 13:01:54.443, 114
query 61, 2025-04-19 13:01:54.444, 2025-04-19 13:01:54.755, 71
query 62, 2025-04-19 13:01:54.757, 2025-04-19 13:01:55.019, 23
query 63, 2025-04-19 13:01:55.021, 2025-04-19 13:01:55.549, 97
query 64, 2025-04-19 13:01:55.551, 2025-04-19 13:01:56.263, 445
query 65, 2025-04-19 13:01:56.265, 2025-04-19 13:01:56.866, 347
query 66, 2025-04-19 13:01:56.868, 2025-04-19 13:01:57.116, 
query 67, 2025-04-19 13:01:57.118, 2025-04-19 13:01:57.364, 
query 68, 2025-04-19 13:01:57.366, 2025-04-19 13:01:57.711, 104
query 69, 2025-04-19 13:01:57.713, 2025-04-19 13:02:12.978, 
query 70, 2025-04-19 13:02:12.980, 2025-04-19 13:02:13.228, 
query 71, 2025-04-19 13:02:13.230, 2025-04-19 13:02:16.241, 2480
query 72, 2025-04-19 13:02:16.242, 2025-04-19 13:02:16.486, 
query 73, 2025-04-19 13:02:16.488, 2025-04-19 13:02:16.771, 43
query 74, 2025-04-19 13:02:16.773, 2025-04-19 13:02:17.013, 
query 75, 2025-04-19 13:02:17.015, 2025-04-19 13:02:17.257, 
query 76, 2025-04-19 13:02:17.259, 2025-04-19 13:02:17.507, 
query 77, 2025-04-19 13:02:17.510, 2025-04-19 13:02:17.756, 
query 78, 2025-04-19 13:02:17.758, 2025-04-19 13:02:22.711, 
query 79, 2025-04-19 13:02:22.713, 2025-04-19 13:02:24.097, 1137
query 80, 2025-04-19 13:02:24.099, 2025-04-19 13:02:24.343, 
query 81, 2025-04-19 13:02:24.345, 2025-04-19 13:02:25.228, 606
query 82, 2025-04-19 13:02:25.230, 2025-04-19 13:03:24.614, 59143
query 83, 2025-04-19 13:03:24.616, 2025-04-19 13:03:24.984, 126
query 84, 2025-04-19 13:03:24.986, 2025-04-19 13:03:25.231, 
query 85, 2025-04-19 13:03:25.233, 2025-04-19 13:03:25.474, 
query 86, 2025-04-19 13:03:25.476, 2025-04-19 13:03:25.720, 
query 87, 2025-04-19 13:03:25.722, 2025-04-19 13:03:25.966, 
query 88, 2025-04-19 13:03:25.968, 2025-04-19 13:03:26.319, 
query 89, 2025-04-19 13:03:26.321, 2025-04-19 13:03:26.893, 330
query 90, 2025-04-19 13:03:26.895, 2025-04-19 13:03:27.136, 
query 91, 2025-04-19 13:03:27.138, 2025-04-19 13:03:27.399, 21
query 92, 2025-04-19 13:03:27.401, 2025-04-19 13:03:32.361, 4653
query 93, 2025-04-19 13:03:32.363, 2025-04-19 13:03:32.687, 85
query 94, 2025-04-19 13:03:32.689, 2025-04-19 13:03:33.052, 
