query_id | cpu_time(ms) | cpu_used(%) | ram_time(ms) | ram_used(gb)
42 | 2025-04-10 22:51:31.700 | 19,4 | 2025-04-10 22:51:31.947 | 2,14
43 | 2025-04-10 22:51:32.031 | 31,6 | 2025-04-10 22:51:32.284 | 2,12
44 | 2025-04-10 22:51:32.371 | 44,6 | 2025-04-10 22:51:32.634 | 2,12
45 | 2025-04-10 22:51:32.717 | 32,2 | 2025-04-10 22:51:32.968 | 2,11
46 | 2025-04-10 22:51:33.050 | 42,1 | 2025-04-10 22:51:33.308 | 2,15
46 | 2025-04-10 22:51:33.384 | 17,8 | 2025-04-10 22:51:33.631 | 2,08
47 | 2025-04-10 22:51:33.798 | 0 | 2025-04-10 22:51:33.806 | 0
47 | 2025-04-10 22:51:33.714 | 18,8 | 2025-04-10 22:51:33.972 | 2,10
48 | 2025-04-10 22:51:34.059 | 34,3 | 2025-04-10 22:51:34.310 | 2,16
49 | 2025-04-10 22:51:34.392 | 24,9 | 2025-04-10 22:51:34.640 | 2,17
50 | 2025-04-10 22:51:34.723 | 38,2 | 2025-04-10 22:51:34.968 | 2,17
51 | 2025-04-10 22:51:35.052 | 57,1 | 2025-04-10 22:51:35.370 | 2,22
51 | 2025-04-10 22:51:35.467 | 58,2 | 2025-04-10 22:51:35.794 | 2,29
51 | 2025-04-10 22:51:35.889 | 63,3 | 2025-04-10 22:51:36.163 | 2,16
52 | 2025-04-10 22:51:36.256 | 24,0 | 2025-04-10 22:51:36.518 | 2,17
53 | 2025-04-10 22:51:36.605 | 23,6 | 2025-04-10 22:51:36.862 | 2,17
54 | 2025-04-10 22:51:36.948 | 15,3 | 2025-04-10 22:51:37.202 | 2,18
55 | 2025-04-10 22:51:37.290 | 16,7 | 2025-04-10 22:51:37.538 | 2,18
56 | 2025-04-10 22:51:37.620 | 22,4 | 2025-04-10 22:51:37.872 | 2,21
57 | 2025-04-10 22:51:38.041 | 0 | 2025-04-10 22:51:38.050 | 0
57 | 2025-04-10 22:51:37.956 | 11,4 | 2025-04-10 22:51:38.212 | 2,20
58 | 2025-04-10 22:51:38.403 | 0 | 2025-04-10 22:51:38.411 | 0
58 | 2025-04-10 22:51:38.300 | 16,1 | 2025-04-10 22:51:38.566 | 2,21
59 | 2025-04-10 22:51:38.652 | 57,9 | 2025-04-10 22:51:38.942 | 2,23
60 | 2025-04-10 22:51:39.031 | 32,0 | 2025-04-10 22:51:39.284 | 2,22
61 | 2025-04-10 22:51:39.369 | 33,3 | 2025-04-10 22:51:39.618 | 2,14
62 | 2025-04-10 22:51:39.706 | 42,6 | 2025-04-10 22:51:39.963 | 2,14
63 | 2025-04-10 22:51:40.055 | 30,3 | 2025-04-10 22:51:40.318 | 2,13
64 | 2025-04-10 22:51:40.405 | 38,5 | 2025-04-10 22:51:40.672 | 2,21
64 | 2025-04-10 22:51:40.757 | 24,2 | 2025-04-10 22:51:41.037 | 2,13
65 | 2025-04-10 22:51:41.125 | 50,0 | 2025-04-10 22:51:41.416 | 2,17
65 | 2025-04-10 22:51:41.521 | 26,4 | 2025-04-10 22:51:41.784 | 2,17
