query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,567.67,66.75,18.0,5.82,4.14,26.5
query 2,20294.0,100.0,18.0,7.19,4.14,28.32
query 3,149.33,43.8,14.33,5.98,4.14,26.4
query 6,88.67,43.75,0.0,5.74,4.14,25.7
query 7,87.67,45.94,3.0,5.72,4.14,26.53
query 9,118.0,54.4,2.0,5.71,4.14,25.7
query 13,81.33,44.8,0.0,5.69,4.14,25.7
query 17,412.0,44.2,21.0,5.72,4.14,33.24
query 24,5825.33,46.16,3.0,5.72,4.14,26.05
query 25,359.67,43.85,14.0,5.69,4.14,34.05
query 26,105.33,43.14,34.0,5.68,4.14,39.17
query 29,313.0,46.7,23.67,5.68,4.14,37.08
query 30,389.0,47.67,64.0,5.71,4.14,44.53
query 33,135.67,44.4,0.0,5.75,4.14,29.0
query 34,177.0,53.43,8.67,5.73,4.14,27.42
query 41,68.33,43.47,0.0,5.62,4.14,25.68
query 42,18.0,43.49,1.0,5.62,4.14,25.88
query 43,21.33,43.82,1.67,5.61,4.14,26.76
query 46,263.0,46.89,2.33,5.69,4.14,25.78
query 48,31.67,43.59,0.33,5.69,4.14,25.64
query 50,159.67,43.39,5.33,5.71,4.14,31.0
query 52,124.67,43.71,8.67,5.79,4.14,26.46
query 53,82.0,61.99,7.33,5.78,4.14,25.83
query 54,12923.33,100.0,17.67,6.6,4.14,27.8
query 55,127.0,46.73,5.0,6.03,4.14,27.89
query 56,100.33,46.84,5.0,5.8,4.14,25.78
query 58,128.67,48.53,0.67,5.78,4.14,25.78
query 59,435.67,48.24,15.0,5.81,4.14,30.4
query 60,115.0,44.29,2.67,5.77,4.14,25.65
query 61,53.0,43.16,0.67,5.77,4.14,26.75
query 62,32.67,43.94,3.67,5.78,4.14,32.09
query 63,81.33,45.57,2.0,5.75,4.14,25.74
query 64,584.0,58.83,21.33,5.85,4.14,31.42
query 65,844.67,67.98,31.67,5.94,4.14,30.81
query 68,194.67,52.01,0.0,5.82,4.14,25.74
query 71,990.67,83.08,10.0,5.83,4.14,25.82
query 73,147.67,43.42,0.33,5.74,4.14,25.75
query 78,28051.67,100.0,55.67,8.71,4.14,47.71
query 79,199.33,49.83,22.0,5.68,4.14,26.72
query 81,623.67,56.1,7.0,5.82,4.14,26.42
query 83,127.33,44.66,0.33,5.77,4.14,25.75
query 89,208.0,45.2,13.0,5.75,4.14,31.33
query 91,40.33,43.93,3.33,5.77,4.14,25.68
query 93,45.33,43.96,6.33,5.75,4.14,25.71
query 96,13.0,42.84,0.0,5.74,4.14,25.7
query 99,110.33,27.26,0.0,5.71,4.14,25.68
