query,time (ms)
query 1,278.0
query 2,13839.5
query 3,10.5
query 6,77.0
query 7,58.5
query 9,88.5
query 12,102.5
query 13,39.5
query 17,187.5
query 20,114.0
query 21,97.0
query 24,8019.0
query 25,164.5
query 26,46.5
query 29,167.0
query 30,144.5
query 32,3161.5
query 33,121.5
query 34,87.0
query 37,1543.5
query 40,156.5
query 41,76.0
query 42,12.0
query 43,16.5
query 46,151.0
query 48,28.0
query 50,41.5
query 52,11.0
query 53,78.5
query 54,7573.5
query 55,11.0
query 56,92.5
query 58,125.0
query 59,965.5
query 60,126.5
query 61,44.0
query 62,20.0
query 63,71.0
query 64,240.5
query 65,1517.0
query 68,69.5
query 71,574.5
query 73,33.0
query 78,18611.0
query 79,517.0
query 81,210.5
query 82,3003.0
query 83,118.5
query 89,316.5
query 91,27.0
query 92,1617.5
query 93,40.5
query 96,10.0
query 98,583.5
query 99,22.0
