query,time (ms)
query 1,1230.0
query 2,27103.0
query 3,11.5
query 6,83.5
query 7,50.0
query 9,104.0
query 12,89.0
query 13,67.5
query 17,288.5
query 20,91.0
query 24,8952.0
query 25,238.0
query 26,43.0
query 29,239.0
query 30,196.5
query 32,6124.0
query 33,123.0
query 34,154.5
query 37,16153.5
query 40,50.0
query 41,68.5
query 42,14.5
query 43,18.0
query 46,630.5
query 48,38.5
query 50,64.5
query 52,12.0
query 53,82.0
query 54,14989.5
query 55,12.0
query 56,77.0
query 58,149.5
query 59,414.0
query 60,96.5
query 61,54.0
query 62,21.5
query 63,81.0
query 64,364.5
query 65,185.0
query 68,88.5
query 71,1496.5
query 73,36.5
query 78,37061.5
query 79,652.5
query 81,342.5
query 82,32536.5
query 83,152.5
query 89,316.5
query 91,18.0
query 92,3109.5
query 93,58.5
query 96,11.0
query 98,200.0
query 99,24.0
