query,time (ms)
query 1,214.0
query 2,7029.5
query 3,10.0
query 6,74.0
query 7,35.5
query 9,89.5
query 12,96.0
query 13,31.0
query 17,128.0
query 20,102.5
query 21,53.5
query 24,3494.5
query 25,103.0
query 26,28.5
query 29,78.0
query 30,109.5
query 32,1625.5
query 33,117.5
query 34,50.0
query 37,114.5
query 40,32.5
query 41,70.5
query 42,12.0
query 43,16.0
query 46,95.5
query 48,22.0
query 50,32.0
query 52,10.0
query 53,65.5
query 54,3885.5
query 55,11.0
query 56,91.0
query 58,117.0
query 59,431.5
query 60,105.5
query 61,39.0
query 62,19.0
query 63,65.5
query 64,179.5
query 65,307.5
query 68,66.0
query 71,304.5
query 73,34.5
query 78,9374.5
query 79,59.5
query 81,227.0
query 82,211.5
query 83,117.0
query 89,306.5
query 91,20.0
query 92,845.5
query 93,27.0
query 96,9.0
query 98,271.5
query 99,19.0
