query,time (ms)
query 1,1459.5
query 3,17.5
query 6,132.0
query 7,84.5
query 9,244.5
query 12,126.0
query 13,159.0
query 17,2168.0
query 20,129.5
query 21,93.5
query 24,11415.0
query 25,2110.0
query 26,197.5
query 29,2110.5
query 30,393.0
query 32,15555.5
query 33,187.0
query 34,395.0
query 37,59385.5
query 40,124.0
query 41,78.5
query 42,21.0
query 43,26.5
query 46,1043.5
query 48,80.5
query 50,143.5
query 52,18.5
query 53,126.5
query 55,18.5
query 56,124.0
query 58,138.5
query 59,1055.0
query 60,135.5
query 61,107.5
query 62,56.0
query 63,121.0
query 64,714.0
query 65,898.0
query 68,190.5
query 71,4063.0
query 73,57.5
query 79,1069.0
query 81,812.0
query 82,118716.0
query 83,161.0
query 89,354.0
query 91,32.0
query 92,7789.5
query 93,143.0
query 96,15.0
query 98,406.5
query 99,48.5
