query,time (ms)
query 1,105.5
query 2,1590.0
query 3,9.5
query 6,66.5
query 7,172.0
query 9,87.0
query 12,69.0
query 13,23.0
query 17,80.0
query 20,74.0
query 21,37.0
query 24,409.0
query 25,29.5
query 26,170.0
query 29,30.0
query 30,75.5
query 32,406.5
query 33,114.0
query 34,33.0
query 37,26.0
query 40,27.0
query 41,71.0
query 42,12.0
query 43,15.0
query 44,173.5
query 46,44.5
query 48,17.0
query 50,50.0
query 52,9.5
query 53,62.5
query 54,839.5
query 55,9.5
query 56,343.0
query 58,229.5
query 59,234.0
query 60,296.0
query 61,34.0
query 62,17.5
query 63,59.5
query 64,163.5
query 65,66.0
query 68,38.5
query 71,101.0
query 73,24.5
query 78,1936.0
query 79,48.0
query 81,96.0
query 82,39.5
query 83,196.0
query 89,295.5
query 91,18.0
query 92,244.5
query 93,13.5
query 96,8.5
query 98,116.5
query 99,17.5
