query_id,cpu_used(%),ram_used(gb),time(ms)
1,75.8,0.75,131.0
2,11.1,0.75,26.0
3,41.3,0.73,83.0
4,37.1,0.7,72.0
5,40.3,0.66,87.0
6,19.7,0.69,40.0
7,41.9,0.74,92.0
8,35.5,0.76,87.0
9,70.8,0.81,231.0
10,58.7,0.73,171.0
11,11.3,0.64,19.0
12,35.5,0.69,67.0
13,78.1,0.73,172.0
14,31.7,0.73,34.0
15,41.9,0.68,36.5
16,22.6,0.66,50.0
17,36.1,0.69,71.0
18,79.0,0.72,187.0
19,50.0,0.77,117.0
20,41.3,0.76,82.0
21,74.6,0.81,205.0
22,15.9,0.73,45.0
