query,time (ms)
query 1,22.0
query 2,44.0
query 3,11.5
query 4,836.0
query 5,12.0
query 6,8.5
query 7,14.5
query 8,21.0
query 9,12.0
query 10,12.0
query 12,17.0
query 13,173.5
query 14,14.0
query 16,18.5
query 17,2627.0
query 18,1775.0
query 19,13.5
query 20,444.5
