query,time (ms)
query 1,26.0
query 2,211.0
query 3,98.0
query 4,1143.0
query 5,27.0
query 6,10.0
query 7,26.0
query 8,47.0
query 9,75.5
query 10,358.5
query 12,24.5
query 13,74.5
query 16,2706.5
query 17,355.0
query 18,2111.0
query 19,41.0
query 20,460.5
query 22,224.5
