query,time (ms)
query 1,62.5
query 2,925.0
query 3,397.0
query 4,2332.0
query 5,53.5
query 6,19.5
query 7,59.0
query 8,120.0
query 9,273.5
query 12,28.0
query 13,247.5
query 16,4977.0
query 17,1342.0
query 18,3718.5
query 19,120.0
query 20,1644.0
